country,alias,canonical_admin1
Ukraine,Cherkasy,Cherkasy Oblast
Ukraine,Cherkasy Oblast,Cherkasy Oblast
Ukraine,Черкаська область,Cherkasy Oblast
Ukraine,Черкасская область,Cherkasy Oblast
Ukraine,切尔卡瑟州,Cherkasy Oblast
Ukraine,Chernihiv,Chernihiv Oblast
Ukraine,Chernihiv Oblast,Chernihiv Oblast
Ukraine,Чернігівська область,Chernihiv Oblast
Ukraine,Черниговская область,Chernihiv Oblast
Ukraine,切尔尼戈夫州,Chernihiv Oblast
Ukraine,Chernivtsi,Chernivtsi Oblast
Ukraine,Chernivtsi Oblast,Chernivtsi Oblast
Ukraine,Чернівецька область,Chernivtsi Oblast
Ukraine,切尔诺夫策州,Chernivtsi Oblast
Ukraine,Dnipropetrovsk,Dnipropetrovsk Oblast
Ukraine,Dnipropetrovsk Oblast,Dnipropetrovsk Oblast
Ukraine,Dnipro,Dnipropetrovsk Oblast
Ukraine,Дніпропетровська область,Dnipropetrovsk Oblast
Ukraine,第聂伯罗彼得罗夫斯克州,Dnipropetrovsk Oblast
Ukraine,Donetsk,Donetsk Oblast
Ukraine,Donetsk Oblast,Donetsk Oblast
Ukraine,Донецька область,Donetsk Oblast
Ukraine,顿涅茨克州,Donetsk Oblast
Ukraine,Ivano-Frankivsk,Ivano-Frankivsk Oblast
Ukraine,Ivano-Frankivsk Oblast,Ivano-Frankivsk Oblast
Ukraine,Івано-Франківська область,Ivano-Frankivsk Oblast
Ukraine,伊万诺-弗兰科夫斯克州,Ivano-Frankivsk Oblast
Ukraine,Kharkiv,Kharkiv Oblast
Ukraine,Kharkiv Oblast,Kharkiv Oblast
Ukraine,Харківська область,Kharkiv Oblast
Ukraine,哈尔科夫州,Kharkiv Oblast
Ukraine,Kherson,Kherson Oblast
Ukraine,Kherson Oblast,Kherson Oblast
Ukraine,Херсонська область,Kherson Oblast
Ukraine,赫尔松州,Kherson Oblast
Ukraine,Khmelnytskyi,Khmelnytskyi Oblast
Ukraine,Khmelnytskyi Oblast,Khmelnytskyi Oblast
Ukraine,Хмельницька область,Khmelnytskyi Oblast
Ukraine,赫梅利尼茨基州,Khmelnytskyi Oblast
Ukraine,Kirovohrad,Kirovohrad Oblast
Ukraine,Kirovohrad Oblast,Kirovohrad Oblast
Ukraine,Кіровоградська область,Kirovohrad Oblast
Ukraine,基洛沃格勒州,Kirovohrad Oblast
Ukraine,Kyiv Oblast,Kyiv Oblast
Ukraine,Kyiv Region,Kyiv Oblast
Ukraine,Київська область,Kyiv Oblast
Ukraine,基辅州,Kyiv Oblast
Ukraine,Kyiv,Kyiv City
Ukraine,Kyiv City,Kyiv City
Ukraine,Київ,Kyiv City
Ukraine,基辅市,Kyiv City
Ukraine,Luhansk,Luhansk Oblast
Ukraine,Luhansk Oblast,Luhansk Oblast
Ukraine,Луганська область,Luhansk Oblast
Ukraine,卢甘斯克州,Luhansk Oblast
Ukraine,Lviv,Lviv Oblast
Ukraine,Lviv Oblast,Lviv Oblast
Ukraine,Львівська область,Lviv Oblast
Ukraine,利沃夫州,Lviv Oblast
Ukraine,Mykolaiv,Mykolaiv Oblast
Ukraine,Mykolaiv Oblast,Mykolaiv Oblast
Ukraine,Nikolaev,Mykolaiv Oblast
Ukraine,Миколаївська область,Mykolaiv Oblast
Ukraine,尼古拉耶夫州,Mykolaiv Oblast
Ukraine,Odesa,Odesa Oblast
Ukraine,Odessa,Odesa Oblast
Ukraine,Odesa Oblast,Odesa Oblast
Ukraine,Odessa Oblast,Odesa Oblast
Ukraine,Одеська область,Odesa Oblast
Ukraine,敖德萨州,Odesa Oblast
Ukraine,Poltava,Poltava Oblast
Ukraine,Poltava Oblast,Poltava Oblast
Ukraine,Полтавська область,Poltava Oblast
Ukraine,波尔塔瓦州,Poltava Oblast
Ukraine,Rivne,Rivne Oblast
Ukraine,Rivne Oblast,Rivne Oblast
Ukraine,Rovno,Rivne Oblast
Ukraine,Рівненська область,Rivne Oblast
Ukraine,罗夫诺州,Rivne Oblast
Ukraine,Sumy,Sumy Oblast
Ukraine,Sumy Oblast,Sumy Oblast
Ukraine,Сумська область,Sumy Oblast
Ukraine,苏梅州,Sumy Oblast
Ukraine,Ternopil,Ternopil Oblast
Ukraine,Ternopil Oblast,Ternopil Oblast
Ukraine,Тернопільська область,Ternopil Oblast
Ukraine,捷尔诺波尔州,Ternopil Oblast
Ukraine,Vinnytsia,Vinnytsia Oblast
Ukraine,Vinnytsia Oblast,Vinnytsia Oblast
Ukraine,Вінницька область,Vinnytsia Oblast
Ukraine,文尼察州,Vinnytsia Oblast
Ukraine,Volyn,Volyn Oblast
Ukraine,Volyn Oblast,Volyn Oblast
Ukraine,Волинська область,Volyn Oblast
Ukraine,沃伦州,Volyn Oblast
Ukraine,Zakarpattia,Zakarpattia Oblast
Ukraine,Zakarpattia Oblast,Zakarpattia Oblast
Ukraine,Transcarpathia,Zakarpattia Oblast
Ukraine,Закарпатська область,Zakarpattia Oblast
Ukraine,外喀尔巴阡州,Zakarpattia Oblast
Ukraine,Zaporizhzhia,Zaporizhzhia Oblast
Ukraine,Zaporizhia,Zaporizhzhia Oblast
Ukraine,Zaporizhzhia Oblast,Zaporizhzhia Oblast
Ukraine,Запорізька область,Zaporizhzhia Oblast
Ukraine,扎波罗热州,Zaporizhzhia Oblast
Ukraine,Zhytomyr,Zhytomyr Oblast
Ukraine,Zhytomyr Oblast,Zhytomyr Oblast
Ukraine,Житомирська область,Zhytomyr Oblast
Ukraine,日托米尔州,Zhytomyr Oblast
Ukraine,Crimea,Autonomous Republic of Crimea
Ukraine,Autonomous Republic of Crimea,Autonomous Republic of Crimea
Ukraine,Крим,Autonomous Republic of Crimea
Ukraine,克里米亚自治共和国,Autonomous Republic of Crimea
Ukraine,Sevastopol,Sevastopol City
Ukraine,Севастополь,Sevastopol City
Ukraine,塞瓦斯托波尔市,Sevastopol City
Ukraine,Черновицкая область,Chernivtsi Oblast
Ukraine,Днепропетровская область,Dnipropetrovsk Oblast
Ukraine,Донецкая область,Donetsk Oblast
Ukraine,Ивано-Франковская область,Ivano-Frankivsk Oblast
Ukraine,Харьковская область,Kharkiv Oblast
Ukraine,Херсонская область,Kherson Oblast
Ukraine,Хмельницкая область,Khmelnytskyi Oblast
Ukraine,Кировоградская область,Kirovohrad Oblast
Ukraine,Киевская область,Kyiv Oblast
Ukraine,Киев,Kyiv City
Ukraine,Луганская область,Luhansk Oblast
Ukraine,Львовская область,Lviv Oblast
Ukraine,Николаевская область,Mykolaiv Oblast
Ukraine,Одесская область,Odesa Oblast
Ukraine,Полтавская область,Poltava Oblast
Ukraine,Ровенская область,Rivne Oblast
Ukraine,Сумская область,Sumy Oblast
Ukraine,Тернопольская область,Ternopil Oblast
Ukraine,Винницкая область,Vinnytsia Oblast
Ukraine,Волынская область,Volyn Oblast
Ukraine,Закарпатская область,Zakarpattia Oblast
Ukraine,Запорожская область,Zaporizhzhia Oblast
Ukraine,Житомирская область,Zhytomyr Oblast
Ukraine,Крым,Autonomous Republic of Crimea
Ukraine,基辅,Kyiv City
Ukraine,Kiev,Kyiv City
Ukraine,м. Київ,Kyiv City
Ukraine,місто Київ,Kyiv City
Ukraine,Київ місто,Kyiv City
Ukraine,Киев город,Kyiv City
Ukraine,Кировоградская обл.,Kirovohrad Oblast
Ukraine,Кіровоградська обл.,Kirovohrad Oblast
Ukraine,基洛沃格勒,Kirovohrad Oblast
Ukraine,基洛夫格勒州,Kirovohrad Oblast
