event_id,event_name_zh,event_name_en,event_family,analysis_role,analysis_ready,primary_anchor_type,primary_anchor_utc,anchor_lower_utc,anchor_upper_utc,anchor_precision_h,attack_start_utc,network_anomaly_start_utc,outage_start_utc,outage_end_utc,power_recovery_end_utc,network_recovery_end_utc,outage_type,scope_type,analysis_treated_admin1,power_affected_admin1,network_observed_admin1,control_strategy,confound_weather,confound_holiday,confound_overlap,frontline_activity,label_quality,source_ids,source_hash,freeze_version
E2024_0610_PLANNED,2024-06-10 全国计划停电,"Nationwide scheduled outage, 10 June 2024",planned_outage,context_only,0,outage_start,2024-06-10 13:00:00,2024-06-10 13:00:00,2024-06-10 13:00:00,0,,,2024-06-10 13:00:00,2024-06-10 19:00:00,2024-06-10 19:00:00,,scheduled,national,ALL,ALL,,historical_same_slot,0,0,0,0,L3_national_window,Ukrenergo_20240610|event_verification_report,96ba5891fb5252a78f778f5028f760a3be940cf389b6603e307d37945a0e8f60,analysis_plan_v2_4
E2024_0621_PLANNED,2024-06-21 全国全天计划停电,"Nationwide day-long scheduled outage, 21 June 2024",planned_outage,context_only,0,outage_start,2024-06-20 21:00:00,2024-06-20 21:00:00,2024-06-20 21:00:00,0,,,2024-06-20 21:00:00,2024-06-21 21:00:00,2024-06-21 21:00:00,,scheduled,national,ALL,ALL,,historical_same_slot,0,0,0,0,L3_national_window,Ukrenergo_20240621|event_verification_report,0fec4bda1b75e54c91adf76b4f82705723fed9400fcc643a4bbc95b68261e3c8,analysis_plan_v2_4
E2024_0624_PLANNED,2024-06-24 全国全天计划停电,"Nationwide day-long scheduled outage, 24 June 2024",planned_outage,planned_aux_confounded,1,outage_start,2024-06-23 21:00:00,2024-06-23 21:00:00,2024-06-23 21:00:00,0,,,2024-06-23 21:00:00,2024-06-24 21:00:00,2024-06-24 21:00:00,,scheduled,national,ALL,ALL,,historical_same_slot,0,0,1,0,L3_national_window,Ukrenergo_20240624|event_verification_report,a2ba4aa0122926f64962179ea3216de388cf28e5fc5a6f795b4c50b30dfcb704,analysis_plan_v2_4
E2024_0707_PLANNED,2024-07-07 全国分段计划停电,"Nationwide segmented scheduled outage, 7 July 2024",planned_outage,planned_train,1,outage_start,2024-07-06 21:00:00,2024-07-06 21:00:00,2024-07-06 21:00:00,0,,,2024-07-06 21:00:00,2024-07-07 21:00:00,2024-07-07 21:00:00,,scheduled,national,ALL,ALL,,registered_segment_same_slot,1,0,0,0,L3_national_queue,Ukrenergo_official_3012,093ce02710e489f91cc6d802ba8f6873a1faefae991aff218de66ae45b04feb7,analysis_plan_v2_4
E2024_0720_PLANNED,2024-07-20 全国分段计划停电,"Nationwide segmented scheduled outage, 20 July 2024",planned_outage,planned_train,1,outage_start,2024-07-19 21:00:00,2024-07-19 21:00:00,2024-07-19 21:00:00,0,,,2024-07-19 21:00:00,2024-07-20 21:00:00,2024-07-20 21:00:00,,scheduled,national,ALL,ALL,,registered_segment_same_slot,1,0,0,0,L3_national_queue,Ukrenergo_official_before3074,374f44116da854043a0b671cde68729fefb9256aa28a6bc0ce07c392ec31c20b,analysis_plan_v2_4
E2024_0728_PLANNED,2024-07-28 全国短时计划停电,"Nationwide short scheduled outage, 28 July 2024",planned_outage,planned_valid,1,outage_start,2024-07-28 15:00:00,2024-07-28 15:00:00,2024-07-28 15:00:00,0,,,2024-07-28 15:00:00,2024-07-28 19:00:00,2024-07-28 19:00:00,,scheduled,national,ALL,ALL,,registered_segment_same_day_zero,0,0,0,0,L3_national_queue,Ukrenergo_official_before3125,6cb4cfc3a553b9cbafd43c90b01b2a0f102b337978a82b4660ff15b13feecc00,analysis_plan_v2_4
E2024_0819_PLANNED,2024-08-19 全国计划停电,"Nationwide scheduled outage, 19 August 2024",planned_outage,planned_valid,1,outage_start,2024-08-19 14:00:00,2024-08-19 14:00:00,2024-08-19 14:00:00,0,,,2024-08-19 14:00:00,2024-08-19 18:00:00,2024-08-19 18:00:00,,scheduled,national,ALL,ALL,,registered_segment_same_day_zero,1,0,0,0,L3_national_queue,Ukrenergo_20240819|event_verification_report,d55a54ea477ce3162ba378857ea34bf2225755747549949c81fe85bec04a7f10,analysis_plan_v2_4
E2024_0820_PLANNED,2024-08-20 全国剂量计划停电,"Nationwide dose-varying scheduled outage, 20 August 2024",planned_outage,planned_valid,1,outage_start,2024-08-20 13:00:00,2024-08-20 13:00:00,2024-08-20 13:00:00,0,,,2024-08-20 13:00:00,2024-08-20 21:00:00,2024-08-20 21:00:00,,scheduled,national,ALL,ALL,,registered_segment_same_day_zero,1,0,0,0,L3_national_queue,Ukrenergo_official_before3202,195b8ac12e36dcd3ee2c6348549603014828e8c638985f9a72af55cdef40ed06,analysis_plan_v2_4
E2024_0821_PLANNED,2024-08-21 全国更新版计划停电,"Nationwide final-update scheduled outage, 21 August 2024",planned_outage,planned_valid,1,outage_start,2024-08-21 12:30:00,2024-08-21 12:30:00,2024-08-21 12:30:00,0,,,2024-08-21 12:30:00,2024-08-21 21:00:00,2024-08-21 21:00:00,,scheduled,national,ALL,ALL,,registered_final_update_same_day_zero,1,0,0,0,L3_national_queue,Ukrenergo_official_after3186,a0e697a2505600197825cfb3ece0868af9be869d6bf5020c8c61355708af79f2,analysis_plan_v2_4
E2024_1209_PLANNED,2024-12-09 全国计划停电,"Nationwide scheduled outage, 9 December 2024",planned_outage,planned_valid,1,outage_start,2024-12-09 06:00:00,2024-12-09 06:00:00,2024-12-09 06:00:00,0,,,2024-12-09 06:00:00,2024-12-09 17:00:00,2024-12-09 17:00:00,,scheduled,national,ALL,ALL,,historical_same_slot,0,0,0,0,L3_national_window,Ukrenergo_20241209|event_verification_report,c535673df57e33bd60a4ec871e5e6d09bfc7e0e4f3628c0c2c4bb889185801da,analysis_plan_v2_4
E2024_0826_ATTACK,2024-08-26 全国能源攻击,"Nationwide energy attack, 26 August 2024",energy_attack,attack_national,1,outage_start,2024-08-26 05:10:00,2024-08-26 00:00:00,2024-08-26 06:00:00,6,2024-08-26 00:00:00,,2024-08-26 05:10:00,2024-09-06 21:00:00,,,emergency,national,ALL,ALL,,historical_slot_plus_placebo,0,0,1,1,L2_state_exact_national_interval,UN_OHCHR_202408|Ukraine_president_20240826|Sumy_outage_0810_local,67cc17f13adb76dd46d41916febbcfa425d46cdbb51714844ec64805f342831c,analysis_plan_v2_4
E2024_0917_SUMY,2024-09-17 苏梅能源设施受袭盲测,"Sumy energy infrastructure attack blind test, 17 September 2024",energy_attack,blind_test,1,outage_confirmed_by,2024-09-17 04:00:00,2024-09-17 00:00:00,2024-09-17 06:00:00,6,2024-09-17 00:00:00,,2024-09-17 04:00:00,2024-09-18 22:00:00,,,emergency,regional,Sumy Oblast,Sumy Oblast,,same_asn_unaffected_admin1,0,0,1,1,L2_region_confirmed_by_time,Reuters_20240917|Sumy_authority,de5738ae2ff0380d69426f8a4eba1119eec83c1aa4ced8a72620694dee262a0f,analysis_plan_v2_4
E2024_1117_ATTACK,2024-11-17 区域能源攻击,"Regional energy attack, 17 November 2024",energy_attack,attack_regional,1,network_anomaly_start,2024-11-17 05:30:00,2024-11-17 04:00:00,2024-11-17 06:00:00,2,2024-11-17 00:00:00,2024-11-17 05:30:00,2024-11-17 04:00:00,2024-11-21 00:00:00,,2024-11-21 00:00:00,emergency,regional,Volyn Oblast|Rivne Oblast|Lviv Oblast|Odesa Oblast|Dnipropetrovsk Oblast|Zaporizhzhia Oblast,Volyn Oblast|Rivne Oblast|Lviv Oblast|Odesa Oblast|Dnipropetrovsk Oblast|Zaporizhzhia Oblast,Odesa Oblast|Zaporizhzhia Oblast|Mykolaiv Oblast|Sumy Oblast,same_asn_unaffected_admin1,1,0,1,1,L2_multi_region,President_UA_20241117|Cloudflare_Q4_2024|event_verification_report,71188a43227d478dfedacb518d41aea99b3013d6de9d81ed7adf985cff54fc0d,analysis_plan_v2_4
E2024_1128_ATTACK,2024-11-28 区域能源攻击,"Regional energy attack, 28 November 2024",energy_attack,attack_regional,1,network_anomaly_start,2024-11-28 05:00:00,2024-11-28 04:00:00,2024-11-28 06:00:00,2,2024-11-27 17:30:00,2024-11-28 05:00:00,2024-11-28 04:00:00,2024-12-01 23:59:59,,2024-12-01 23:59:59,emergency,regional,Lviv Oblast|Rivne Oblast|Volyn Oblast|Khmelnytskyi Oblast|Zhytomyr Oblast,Lviv Oblast|Rivne Oblast|Volyn Oblast|Khmelnytskyi Oblast|Zhytomyr Oblast,Kherson Oblast|Mykolaiv Oblast|Ternopil Oblast|Rivne Oblast|Lviv Oblast,same_asn_unaffected_admin1,0,0,1,1,L2_multi_region_precise_attack_and_network,AirForce_UA_20241128|UN_Ukraine_20241128|Cloudflare_Q4_2024|IODA_20250131,f29e4769da1f110c3591d82975c87a98f4a5fadfdfa67c74981c5e899040223e,analysis_plan_v2_4
E2024_1213_ATTACK,2024-12-13 全国能源攻击压力测试,"Nationwide energy attack stress test, 13 December 2024",energy_attack,stress_test,1,outage_confirmed_by,2024-12-13 04:00:00,2024-12-13 03:00:00,2024-12-13 05:00:00,2,2024-12-13 00:00:00,,2024-12-13 04:00:00,2024-12-15 22:00:00,,,emergency,national,ALL,ALL,,historical_slot_plus_placebo,1,0,1,1,L2_national_weather_confound,President_UA_20241213|IODA_20250131|UA_energy_weather,22731213534574d91b97170ddaf4c8290c11035f24ff52f1b11959c551ca1937,analysis_plan_v2_4
E2024_1225_ATTACK,2024-12-25 全国能源攻击压力测试,"Nationwide energy attack stress test, 25 December 2024",energy_attack,stress_test,1,attack_start,2024-12-25 04:00:00,2024-12-25 04:00:00,2024-12-25 04:00:00,0,2024-12-25 04:00:00,,2024-12-25 04:00:00,2024-12-28 22:00:00,,,emergency,national,ALL,ALL,,historical_slot_plus_placebo,0,1,1,1,L2_national_holiday_confound,UN_Ukraine_20241225|DTEK_20241225|IODA_20250131,c62b07a177cc61742e7b7951bb7f276a2f2744e9e588e311dff40cbd9ca3936a,analysis_plan_v2_4
E2025_0115_ATTACK,2025-01-15 区域能源攻击弱信号测试,"Regional energy attack weak-signal test, 15 January 2025",energy_attack,stress_test,1,outage_confirmed_by,2025-01-15 06:39:00,2025-01-15 04:00:00,2025-01-15 07:00:00,3,2025-01-15 04:00:00,,2025-01-15 06:39:00,2025-01-17 22:00:00,,,preventive_emergency,regional,Kharkiv Oblast|Sumy Oblast|Poltava Oblast|Zaporizhzhia Oblast|Dnipropetrovsk Oblast|Kirovohrad Oblast,Kharkiv Oblast|Sumy Oblast|Poltava Oblast|Zaporizhzhia Oblast|Dnipropetrovsk Oblast|Kirovohrad Oblast,,same_asn_unaffected_admin1,0,0,1,1,L2_region_confirmed_by_time,Reuters_20250115|IODA_20250131,8b9d88a71df5f865f6dbd5f3635bd5e55c1531bf17a37ba2d6b032ee9df2cfaa,analysis_plan_v2_4
E2024_0724_OBLAST_FALSIFICATION,2024-07-24 扎波罗热执行与沃伦取消州级反证,"Zaporizhzhia execution versus Volyn cancellation falsification, 24 July 2024",planned_outage,planned_falsification,1,outage_start,2024-07-24 13:00:00,2024-07-24 13:00:00,2024-07-24 13:00:00,0,,,2024-07-24 13:00:00,2024-07-24 15:00:00,2024-07-24 15:00:00,,scheduled,regional,Zaporizhzhia Oblast,Zaporizhzhia Oblast,,same_day_cancelled_admin1_same_asn,0,0,0,1,L2_partial_queue_execution,SRC_VOL_0724|SRC_ZP_0724,714f658ff81f9e56026be1e54f25d551b54bb428f22d721615005350b5c50fc1,analysis_plan_v2_4_3
