execution_event_id,event_date,admin1,admin2,operator,mechanism,queue_id_or_set,event_action,effective_time_local,effective_time_utc,reported_at_local,reported_at_utc,time_lower_local,time_upper_local,time_lower_utc,time_upper_utc,time_precision,time_semantics,state_after_action,affected_scope_detail,related_schedule_record_id,key_event_id,confidence,publication_eligible,impact_note,source_authority,source_url,source_note,explanation_zh,episode_id,episode_seq,mechanism_norm,action_norm,state_before_norm,state_after_norm,event_confidence,time_confidence,scope_confidence,source_origin,source_channel,source_grade,evidence_rank,schema_version
XE20240828_SUMY_GAV_ACTIVATE,2024-08-28,Sumy Oblast,,Sumyoblenergo,GAV,1|2,activate,2024-08-28 08:49:00+03:00,2024-08-28 05:49:00+00:00,,,,,,,exact_effective,Sumyoblenergo explicitly states GAV queues 1 and 2 introduced from 08:49.,GAV q1/q2 active in parallel with planned restrictions,Sumy Oblast,R20240828_NAT_001,KE20240826_MAJOR_ATTACK,high,1,True emergency override inside the broader post-attack recovery day.,official_dso,https://t.me/s/SumyEnergo?before=1256,,True emergency override inside the broader post-attack recovery day.【置信度：high】,EP20240828_SUMY_OBLAST_01,1,GAV,activate,unknown,GAV,high,exact_public,oblast,DSO,direct,primary,5,v3.0
XE20240828_SUMY_GAV_CANCEL,2024-08-28,Sumy Oblast,,Sumyoblenergo,GAV,1|2,cancel_all,2024-08-28 11:00:00+03:00,2024-08-28 08:00:00+00:00,,,,,,,exact_effective,Sumyoblenergo explicitly states cancellation of GAV queues 1 and 2 from 11:00.,GAV off; revised GPV 3 queues from 11:00,Sumy Oblast,R20240828_NAT_001,KE20240826_MAJOR_ATTACK,high,1,,official_dso,https://t.me/s/SumyEnergo?before=1256,,Sumy Oblast / Sumyoblenergo；GAV cancel_all；状态=GAV off; revised GPV 3 queues from 11:00。【置信度：high】,EP20240828_SUMY_OBLAST_01,2,GAV,cancel,GAV,GPV,high,exact_public,oblast,DSO,direct,primary,5,v3.0
XE20240830_SUMY_GAV_ACTIVATE,2024-08-30,Sumy Oblast,,Sumyoblenergo,GAV,1|2,activate,2024-08-30 09:49:00+03:00,2024-08-30 06:49:00+00:00,,,,,,,exact_effective,DSO states GAV introduced at 09:49 for queues 1 and 2.,GAV q1/q2 active; GPV also active,Sumy Oblast,R20240830_SUMYOBLA_001,KE20240830_MULTI_REGION_EMERGENCY,high,1,Emergency and hourly schedules overlapped; model mechanisms separately.,dso_statement_via_dated_local_media,https://debaty.sumy.ua/news/na-sumshhini-vvedeni-avarijni-vidklyuchennya-elektriki,,Emergency and hourly schedules overlapped; model mechanisms separately.【置信度：high】,EP20240830_SUMY_OBLAST_01,1,GAV,activate,unknown,GPV+GAV,high,exact_public,oblast,DSO,media_relay,near_primary,4,v3.0
XE20240927_SUMY_SGAV_ACTIVATE,2024-09-27,Sumy Oblast,,Sumyoblenergo,SGAV,FULL,activate,2024-09-27 09:25:00+03:00,2024-09-27 06:25:00+00:00,,,,,,,exact_effective,DSO explicitly states full SGAV introduced at 09:25.,SGAV full in Shostka|Romny|Konotop districts,Shostka|Romny|Konotop districts,R20240927_AUD_001,KE20240927_SUMY_SHORT_EMERGENCY,high,1,,dso_statement_via_dated_local_media,https://debaty.sumy.ua/news/na-sumshhini-avarijni-vidklyuchennya-elektroenergiyi,,Sumy Oblast / Sumyoblenergo；SGAV activate；状态=SGAV full in Shostka|Romny|Konotop districts。【置信度：high】,EP20240927_SUMY_OBLAST_01,1,GAV+SGAV,activate,unknown,GAV+SGAV,high,exact_public,specific_or_partial,DSO,media_relay,near_primary,4,v3.0
XE20240927_SUMY_GAV_ALL,2024-09-27,Sumy Oblast,,Sumyoblenergo,GAV,1-10,activate,,,2024-09-27 09:46:00+03:00,2024-09-27 06:46:00+00:00,,,,,reported_at,Contemporaneous reporting says all 10 GAV queues were in force by 09:46; exact common activation second is not claimed.,all 10 GAV queues active,Sumy Oblast,R20240927_AUD_001,KE20240927_SUMY_SHORT_EMERGENCY,high,1,Do not treat 09:46 as the command's exact effective time.,dso_statement_via_dated_media,https://24tv.ua/odniy-oblastey-vveli-avariyni-vidklyuchennya-svitla_n2650523,,Do not treat 09:46 as the command's exact effective time.【置信度：high】,EP20240927_SUMY_OBLAST_01,2,GAV,activate,GAV+SGAV,GAV,high,reported_state,oblast,DSO,media_relay,near_primary,4,v3.0
XE20240927_SUMY_CANCEL_ALL,2024-09-27,Sumy Oblast,,Sumyoblenergo,GAV+SGAV,,cancel_all,2024-09-27 09:57:00+03:00,2024-09-27 06:57:00+00:00,,,,,,,exact_effective,DSO explicitly states Ukrenergo instruction cancelled GAV and SGAV at 09:57.,GAV/SGAV off,Sumy Oblast,R20240927_AUD_001,KE20240927_SUMY_SHORT_EMERGENCY,high,1,,dso_statement_via_dated_local_media,https://debaty.sumy.ua/news/na-sumshhini-avarijni-vidklyuchennya-elektroenergiyi,,Sumy Oblast / Sumyoblenergo；GAV+SGAV cancel_all；状态=GAV/SGAV off。【置信度：high】,EP20240927_SUMY_OBLAST_01,3,GAV+SGAV,cancel,GAV,normal_or_planned,high,exact_public,oblast,DSO,media_relay,near_primary,4,v3.0
XE20241004_SUMY_GAV_ACTIVATE,2024-10-04,Sumy Oblast,,Sumyoblenergo,GAV,,activate,2024-10-04 10:25:00+03:00,2024-10-04 07:25:00+00:00,,,,,,,exact_effective,Ukrenergo/DSO reporting gives a 10:25 introduction time.,GAV active,Sumy Oblast,R20241004_AUD_001,KE20241004_SUMY_POLTAVA_GAV,high,1,,ukrenergo_dso_statement_via_dated_media,https://fakty.com.ua/ua/ukraine/20241004-avarijni-vidklyuchennya-u-sumskij-i-poltavskij-oblastyah-vymusheno-vymknuly-svitlo/,,Sumy Oblast / Sumyoblenergo；GAV activate；状态=GAV active。【置信度：high】,EP20241004_SUMY_OBLAST_01,1,GAV,activate,unknown,GAV,high,exact_public,oblast,TSO,media_relay,near_primary,4,v3.0
XE20241004_SUMY_GAV_CANCEL,2024-10-04,Sumy Oblast,,Sumyoblenergo,GAV,,cancel_all,2024-10-04 19:00:00+03:00,2024-10-04 16:00:00+00:00,,,,,,,exact_effective,Suspilne Sumy online update attributes 19:00 cancellation to Sumyoblenergo.,GAV off,Sumy Oblast,R20241004_AUD_001,KE20241004_SUMY_POLTAVA_GAV,high,1,,official_dso_statement_via_public_broadcaster,https://suspilne.media/sumy/847637-obstrili-civilnoi-infrastrukturi-zagibli-ta-poraneni-ludi-so-vidbuvaetsa-na-sumsini-onlajn/,,Sumy Oblast / Sumyoblenergo；GAV cancel_all；状态=GAV off。【置信度：high】,EP20241004_SUMY_OBLAST_01,2,GAV,cancel,GAV,normal_or_planned,high,exact_public,oblast,DSO,public_media_relay,near_primary,4,v3.0
XE20241019_SUMY_GAV_1_5,2024-10-19,Sumy Oblast,,Sumyoblenergo,GAV,1-5,activate,2024-10-19 08:57:00+03:00,2024-10-19 05:57:00+00:00,,,,,,,exact_effective,DSO states GAV queues 1–5 introduced at 08:57.,q1-5 off,Shostka|Konotop|part of Sumy district,,KE20241019_SHOSTKA_ATTACK,high,1,,dso_statement_via_dated_local_media,https://debaty.sumy.ua/news/na-sumshhini-vveli-grafiki-avarijnih-vidklyuchen-elektroenergiyi-2,,Sumy Oblast / Sumyoblenergo；GAV activate；状态=q1-5 off。【置信度：high】,EP20241019_SUMY_OBLAST_01,1,GAV,activate,unknown,GAV,high,exact_public,specific_or_partial,DSO,media_relay,near_primary,4,v3.0
XE20241019_SUMY_GAV_ROTATE,2024-10-19,Sumy Oblast,,Sumyoblenergo,GAV,1-5 -> 6-10,rotate,2024-10-19 10:57:00+03:00,2024-10-19 07:57:00+00:00,,,,,,,exact_effective,DSO says q1–5 were re-energized and q6–10 applied from 10:57.,q6-10 off; q1-5 restored,Shostka|Konotop|part of Sumy district,,KE20241019_SHOSTKA_ATTACK,high,1,End of emergency dispatch was not recovered; interval deliberately remains open.,dso_statement_via_dated_local_media,https://debaty.sumy.ua/news/na-sumshhini-trivayut-avarijni-vidklyuchennya,,End of emergency dispatch was not recovered; interval deliberately remains open.【置信度：high】,EP20241019_SUMY_OBLAST_01,2,GAV,rotate,GAV,GAV,high,exact_public,specific_or_partial,DSO,media_relay,near_primary,4,v3.0
