segment_id,event_id,independence_cluster,analysis_role,timezone_name,utc_offset,local_start,local_end,start_utc,end_utc,queue_count,scope_type,affected_admin1,label_quality,final_version,publication_eligible,confound_episode,source_authority,source_url,verified_at_utc,notes
S2024_0707_01,E2024_0707_PLANNED,early_july_heat,planned_train,Europe/Kyiv,+03:00,2024-07-07 00:00:00+03:00,2024-07-07 07:00:00+03:00,2024-07-06 21:00:00+00:00,2024-07-07 04:00:00+00:00,2,national,ALL,L3_national_queue,1,1,heat,Ukrenergo,https://t.me/s/Ukrenergo/3012,2026-08-05 00:00:00+00:00,Official final national dispatch; not IP-level actual outage
S2024_0707_02,E2024_0707_PLANNED,early_july_heat,planned_train,Europe/Kyiv,+03:00,2024-07-07 07:00:00+03:00,2024-07-07 15:00:00+03:00,2024-07-07 04:00:00+00:00,2024-07-07 12:00:00+00:00,0,national,ALL,L3_national_queue,1,1,heat,Ukrenergo,https://t.me/s/Ukrenergo/3012,2026-08-05 00:00:00+00:00,Official no-restriction interval
S2024_0707_03,E2024_0707_PLANNED,early_july_heat,planned_train,Europe/Kyiv,+03:00,2024-07-07 15:00:00+03:00,2024-07-08 00:00:00+03:00,2024-07-07 12:00:00+00:00,2024-07-07 21:00:00+00:00,2,national,ALL,L3_national_queue,1,1,heat,Ukrenergo,https://t.me/s/Ukrenergo/3012,2026-08-05 00:00:00+00:00,Official final national dispatch
S2024_0720_01,E2024_0720_PLANNED,late_july_heat,planned_train,Europe/Kyiv,+03:00,2024-07-20 00:00:00+03:00,2024-07-20 02:00:00+03:00,2024-07-19 21:00:00+00:00,2024-07-19 23:00:00+00:00,1,national,ALL,L3_national_queue,1,1,heat,Ukrenergo,https://t.me/s/ukrenergo?before=3074,2026-08-05 00:00:00+00:00,Official national dispatch
S2024_0720_02,E2024_0720_PLANNED,late_july_heat,planned_train,Europe/Kyiv,+03:00,2024-07-20 02:00:00+03:00,2024-07-20 05:00:00+03:00,2024-07-19 23:00:00+00:00,2024-07-20 02:00:00+00:00,0,national,ALL,L3_national_queue,1,1,heat,Ukrenergo,https://t.me/s/ukrenergo?before=3074,2026-08-05 00:00:00+00:00,Official no-restriction interval
S2024_0720_03,E2024_0720_PLANNED,late_july_heat,planned_train,Europe/Kyiv,+03:00,2024-07-20 05:00:00+03:00,2024-07-20 13:00:00+03:00,2024-07-20 02:00:00+00:00,2024-07-20 10:00:00+00:00,1,national,ALL,L3_national_queue,1,1,heat,Ukrenergo,https://t.me/s/ukrenergo?before=3074,2026-08-05 00:00:00+00:00,Official national dispatch
S2024_0720_04,E2024_0720_PLANNED,late_july_heat,planned_train,Europe/Kyiv,+03:00,2024-07-20 13:00:00+03:00,2024-07-21 00:00:00+03:00,2024-07-20 10:00:00+00:00,2024-07-20 21:00:00+00:00,2,national,ALL,L3_national_queue,1,1,heat,Ukrenergo,https://t.me/s/ukrenergo?before=3074,2026-08-05 00:00:00+00:00,Official national dispatch
S2024_0728_01,E2024_0728_PLANNED,late_july_replication,planned_valid,Europe/Kyiv,+03:00,2024-07-28 00:00:00+03:00,2024-07-28 18:00:00+03:00,2024-07-27 21:00:00+00:00,2024-07-28 15:00:00+00:00,0,national,ALL,L3_national_queue,1,1,none,Ukrenergo,https://t.me/s/Ukrenergo?before=3125,2026-08-05 00:00:00+00:00,Official no-restriction interval
S2024_0728_02,E2024_0728_PLANNED,late_july_replication,planned_valid,Europe/Kyiv,+03:00,2024-07-28 18:00:00+03:00,2024-07-28 22:00:00+03:00,2024-07-28 15:00:00+00:00,2024-07-28 19:00:00+00:00,1,national,ALL,L3_national_queue,1,1,none,Ukrenergo,https://t.me/s/Ukrenergo?before=3125,2026-08-05 00:00:00+00:00,Official final national dispatch
S2024_0728_03,E2024_0728_PLANNED,late_july_replication,planned_valid,Europe/Kyiv,+03:00,2024-07-28 22:00:00+03:00,2024-07-29 00:00:00+03:00,2024-07-28 19:00:00+00:00,2024-07-28 21:00:00+00:00,0,national,ALL,L3_national_queue,1,1,none,Ukrenergo,https://t.me/s/Ukrenergo?before=3125,2026-08-05 00:00:00+00:00,Official no-restriction interval
S2024_0819_01,E2024_0819_PLANNED,august_heat,planned_valid,Europe/Kyiv,+03:00,2024-08-19 00:00:00+03:00,2024-08-19 17:00:00+03:00,2024-08-18 21:00:00+00:00,2024-08-19 14:00:00+00:00,0,national,ALL,L3_national_queue,1,1,heat,Ukrenergo,https://t.me/s/Ukrenergo?before=3184,2026-08-05 00:00:00+00:00,Official no-restriction interval
S2024_0819_02,E2024_0819_PLANNED,august_heat,planned_valid,Europe/Kyiv,+03:00,2024-08-19 17:00:00+03:00,2024-08-19 21:00:00+03:00,2024-08-19 14:00:00+00:00,2024-08-19 18:00:00+00:00,1,national,ALL,L3_national_queue,1,1,heat,Ukrenergo,https://t.me/s/Ukrenergo?before=3184,2026-08-05 00:00:00+00:00,Official final national dispatch
S2024_0819_03,E2024_0819_PLANNED,august_heat,planned_valid,Europe/Kyiv,+03:00,2024-08-19 21:00:00+03:00,2024-08-20 00:00:00+03:00,2024-08-19 18:00:00+00:00,2024-08-19 21:00:00+00:00,0,national,ALL,L3_national_queue,1,1,heat,Ukrenergo,https://t.me/s/Ukrenergo?before=3184,2026-08-05 00:00:00+00:00,Official no-restriction interval
S2024_0820_01,E2024_0820_PLANNED,august_heat,planned_valid,Europe/Kyiv,+03:00,2024-08-20 00:00:00+03:00,2024-08-20 16:00:00+03:00,2024-08-19 21:00:00+00:00,2024-08-20 13:00:00+00:00,0,national,ALL,L3_national_queue,1,1,heat,Ukrenergo,https://t.me/s/Ukrenergo?before=3202,2026-08-05 00:00:00+00:00,Official no-restriction interval
S2024_0820_02,E2024_0820_PLANNED,august_heat,planned_valid,Europe/Kyiv,+03:00,2024-08-20 16:00:00+03:00,2024-08-20 17:00:00+03:00,2024-08-20 13:00:00+00:00,2024-08-20 14:00:00+00:00,1,national,ALL,L3_national_queue,1,1,heat,Ukrenergo,https://t.me/s/Ukrenergo?before=3202,2026-08-05 00:00:00+00:00,Official final national dispatch
S2024_0820_03,E2024_0820_PLANNED,august_heat,planned_valid,Europe/Kyiv,+03:00,2024-08-20 17:00:00+03:00,2024-08-20 22:00:00+03:00,2024-08-20 14:00:00+00:00,2024-08-20 19:00:00+00:00,2,national,ALL,L3_national_queue,1,1,heat,Ukrenergo,https://t.me/s/Ukrenergo?before=3202,2026-08-05 00:00:00+00:00,Official final national dispatch
S2024_0820_04,E2024_0820_PLANNED,august_heat,planned_valid,Europe/Kyiv,+03:00,2024-08-20 22:00:00+03:00,2024-08-21 00:00:00+03:00,2024-08-20 19:00:00+00:00,2024-08-20 21:00:00+00:00,1,national,ALL,L3_national_queue,1,1,heat,Ukrenergo,https://t.me/s/Ukrenergo?before=3202,2026-08-05 00:00:00+00:00,Official final national dispatch
S2024_0821_01,E2024_0821_PLANNED,august_heat,planned_valid,Europe/Kyiv,+03:00,2024-08-21 00:00:00+03:00,2024-08-21 15:30:00+03:00,2024-08-20 21:00:00+00:00,2024-08-21 12:30:00+00:00,0,national,ALL,L3_national_queue,1,1,heat,Ukrenergo,https://t.me/s/Ukrenergo?after=3186,2026-08-05 00:00:00+00:00,Final same-day update; supersedes 16:00 start
S2024_0821_02,E2024_0821_PLANNED,august_heat,planned_valid,Europe/Kyiv,+03:00,2024-08-21 15:30:00+03:00,2024-08-21 18:00:00+03:00,2024-08-21 12:30:00+00:00,2024-08-21 15:00:00+00:00,1,national,ALL,L3_national_queue,1,1,heat,Ukrenergo,https://t.me/s/Ukrenergo?after=3186,2026-08-05 00:00:00+00:00,Final same-day update
S2024_0821_03,E2024_0821_PLANNED,august_heat,planned_valid,Europe/Kyiv,+03:00,2024-08-21 18:00:00+03:00,2024-08-21 22:00:00+03:00,2024-08-21 15:00:00+00:00,2024-08-21 19:00:00+00:00,2,national,ALL,L3_national_queue,1,1,heat,Ukrenergo,https://t.me/s/Ukrenergo?after=3186,2026-08-05 00:00:00+00:00,Final same-day update
S2024_0821_04,E2024_0821_PLANNED,august_heat,planned_valid,Europe/Kyiv,+03:00,2024-08-21 22:00:00+03:00,2024-08-22 00:00:00+03:00,2024-08-21 19:00:00+00:00,2024-08-21 21:00:00+00:00,1,national,ALL,L3_national_queue,1,1,heat,Ukrenergo,https://t.me/s/Ukrenergo?after=3186,2026-08-05 00:00:00+00:00,Final same-day update
S2024_1209_01,E2024_1209_PLANNED,winter_attack_recovery,planned_valid,Europe/Kyiv,+02:00,2024-12-09 08:00:00+02:00,2024-12-09 19:00:00+02:00,2024-12-09 06:00:00+00:00,2024-12-09 17:00:00+00:00,1,national,ALL,L3_national_queue,1,0,post_attack_recovery,Ukrenergo,https://t.me/s/ukrenergo?before=3546,2026-08-05 00:00:00+00:00,Verified but excluded from clean publication cluster count
