record_id,event_date,admin1,admin2,operator,scope_type,consumer_class,restriction_type,queue_count,queue_id,planned_start_local,planned_end_local,actual_start_local,actual_end_local,planned_start_utc,planned_end_utc,actual_start_utc,actual_end_utc,timezone_name,status,confidence,impact_note,schedule_version,announced_at_utc,supersedes_record_id,emergency_override,attack_recovery_confounded,technical_outage_confounded,weather_confounded,analysis_eligible,publication_eligible,source_authority,source_url,source_note,confound_scope,affected_admin1,key_event_ids,execution_event_ids,methodology_rule_ids,explanation_zh,status_norm,scope_type_norm,restriction_type_norm,source_grade,evidence_rank,actual_time_semantics,record_role,schema_version
R20240601_NAT_001,2024-06-01,ALL,,Ukrenergo,national,household_general,hourly_schedule,,,2024-06-01 18:00:00+03:00,2024-06-01 23:00:00+03:00,,,2024-06-01 15:00:00+00:00,2024-06-01 20:00:00+00:00,,,Europe/Kyiv,dispatch_confirmed,medium,官方能够确认计划限电/小时停电表在该时段生效，但未可靠恢复全国同时启用的队列数量，因此 queue_count 留空，避免伪造强度。 置信度：medium。 同日发生被联合国列入2024年大规模能源系统攻击序列的事件（KE20240601_MAJOR_ATTACK），因此该日不应作为干净的计划停电 treatment/control。,final_dispatch,,,0,1,0,0,0,1,official_tso_archive,https://t.me/s/Ukrenergo?before=2836,Archive-level recovery; exact post should be snapshotted from Telegram export before publication.,national_system,Donetsk Oblast|Zaporizhzhia Oblast|Dnipropetrovsk Oblast|Kirovohrad Oblast|Ivano-Frankivsk Oblast,KE20240601_MAJOR_ATTACK,,MR20240608_QUEUE_DISPATCH_SEMANTIC_BREAK|MR20241210_REGULATOR_ACTUAL_VS_PLAN,官方能够确认计划限电/小时停电表在该时段生效，但未可靠恢复全国同时启用的队列数量，因此 queue_count 留空，避免伪造强度。 置信度：medium。 同日发生被联合国列入2024年大规模能源系统攻击序列的事件（KE20240601_MAJOR_ATTACK），因此该日不应作为干净的计划停电 treatment/control。【置信度：medium】,confirmed,national,GPV,primary,5,not_populated,planned_or_final_dispatch,v3.0
R20240602_NAT_001,2024-06-02,ALL,,Ukrenergo,national,household_general,hourly_schedule,,,2024-06-02 01:00:00+03:00,2024-06-02 05:00:00+03:00,,,2024-06-01 22:00:00+00:00,2024-06-02 02:00:00+00:00,,,Europe/Kyiv,dispatch_confirmed,medium,官方能够确认计划限电/小时停电表在该时段生效，但未可靠恢复全国同时启用的队列数量，因此 queue_count 留空，避免伪造强度。 置信度：medium。,final_dispatch,,,0,0,0,0,1,0,official_tso_archive,https://t.me/s/Ukrenergo?before=2895,,,,,,MR20240608_QUEUE_DISPATCH_SEMANTIC_BREAK|MR20241210_REGULATOR_ACTUAL_VS_PLAN,官方能够确认计划限电/小时停电表在该时段生效，但未可靠恢复全国同时启用的队列数量，因此 queue_count 留空，避免伪造强度。 置信度：medium。【置信度：medium】,confirmed,national,GPV,primary,5,not_populated,planned_or_final_dispatch,v3.0
R20240602_NAT_002,2024-06-02,ALL,,Ukrenergo,national,household_general,hourly_schedule,,,2024-06-02 19:00:00+03:00,2024-06-03 00:00:00+03:00,,,2024-06-02 16:00:00+00:00,2024-06-02 21:00:00+00:00,,,Europe/Kyiv,dispatch_confirmed,medium,官方能够确认计划限电/小时停电表在该时段生效，但未可靠恢复全国同时启用的队列数量，因此 queue_count 留空，避免伪造强度。 置信度：medium。,final_dispatch,,,0,0,0,0,1,0,official_tso_archive,https://t.me/s/Ukrenergo?before=2895,,,,,,MR20240608_QUEUE_DISPATCH_SEMANTIC_BREAK|MR20241210_REGULATOR_ACTUAL_VS_PLAN,官方能够确认计划限电/小时停电表在该时段生效，但未可靠恢复全国同时启用的队列数量，因此 queue_count 留空，避免伪造强度。 置信度：medium。【置信度：medium】,confirmed,national,GPV,primary,5,not_populated,planned_or_final_dispatch,v3.0
R20240603_NAT_001,2024-06-03,ALL,,Ukrenergo,national,household_general,hourly_schedule,,,2024-06-03 00:00:00+03:00,2024-06-04 00:00:00+03:00,,,2024-06-02 21:00:00+00:00,2024-06-03 21:00:00+00:00,,,Europe/Kyiv,dispatch_confirmed,medium,官方能够确认计划限电/小时停电表在该时段生效，但未可靠恢复全国同时启用的队列数量，因此 queue_count 留空，避免伪造强度。 置信度：medium。,final_dispatch,,,0,0,0,0,1,0,official_tso_archive,https://t.me/s/Ukrenergo?before=2905,,,,,,MR20240608_QUEUE_DISPATCH_SEMANTIC_BREAK|MR20241210_REGULATOR_ACTUAL_VS_PLAN,官方能够确认计划限电/小时停电表在该时段生效，但未可靠恢复全国同时启用的队列数量，因此 queue_count 留空，避免伪造强度。 置信度：medium。【置信度：medium】,confirmed,national,GPV,primary,5,not_populated,planned_or_final_dispatch,v3.0
R20240604_NAT_001,2024-06-04,ALL,,Ukrenergo,national,household_general,hourly_schedule,,,2024-06-04 00:00:00+03:00,2024-06-05 00:00:00+03:00,,,2024-06-03 21:00:00+00:00,2024-06-04 21:00:00+00:00,,,Europe/Kyiv,dispatch_confirmed,high,官方能够确认计划限电/小时停电表在该时段生效，但未可靠恢复全国同时启用的队列数量，因此 queue_count 留空，避免伪造强度。 置信度：high。 v2.7: 同日存在多轮分钟级 emergency override；全国计划行不能直接代表受影响州的实际执行，需联合 execution_events。,final_dispatch,,,0,0,0,0,1,0,official_tso_archive,https://t.me/s/Ukrenergo?before=2921,,multi_region,Kharkiv Oblast|Sumy Oblast|Kyiv City|Kyiv Oblast|Donetsk Oblast|Zhytomyr Oblast|Mykolaiv Oblast|Khmelnytskyi Oblast|Ivano-Frankivsk Oblast|Rivne Oblast|Zakarpattia Oblast|Ternopil Oblast|Vinnytsia Oblast|Volyn Oblast|Lviv Oblast|Cherkasy Oblast|Kirovohrad Oblast,KE20240604_MULTI_REGION_EMERGENCY,XE20240604_KH_GAV_ACTIVATE_1421|XE20240604_KH_SGAV_ACTIVATE_1449|XE20240604_KH_EMG_CANCEL_1530|XE20240604_SUMY_GAV_ACTIVATE_2115|XE20240604_KH_GAV_ACTIVATE_2127,MR20240608_QUEUE_DISPATCH_SEMANTIC_BREAK|MR20241210_REGULATOR_ACTUAL_VS_PLAN,官方能够确认计划限电/小时停电表在该时段生效，但未可靠恢复全国同时启用的队列数量，因此 queue_count 留空，避免伪造强度。 置信度：high。 v2.7: 同日存在多轮分钟级 emergency override；全国计划行不能直接代表受影响州的实际执行，需联合 execution_events。【置信度：high】,confirmed,national,GPV,primary,5,not_populated,planned_or_final_dispatch,v3.0
R20240605_NAT_001,2024-06-05,ALL,,Ukrenergo,national,household_general,hourly_schedule,,,2024-06-05 00:00:00+03:00,2024-06-06 00:00:00+03:00,,,2024-06-04 21:00:00+00:00,2024-06-05 21:00:00+00:00,,,Europe/Kyiv,dispatch_confirmed,high,官方能够确认计划限电/小时停电表在该时段生效，但未可靠恢复全国同时启用的队列数量，因此 queue_count 留空，避免伪造强度。 置信度：high。 v2.7: 20:40起多州计划被GAV临时覆盖；Odesa 21:35提前恢复，Sumy/Kharkiv 23:40恢复计划状态。,final_dispatch,,,0,0,0,0,1,0,official_tso_archive,https://t.me/s/Ukrenergo?before=2921,,multi_region,Odesa Oblast|Sumy Oblast|Kharkiv Oblast|Volyn Oblast|Ivano-Frankivsk Oblast|Kyiv Oblast|Kirovohrad Oblast|Zaporizhzhia Oblast|Lviv Oblast|Rivne Oblast|Cherkasy Oblast|Chernihiv Oblast,KE20240605_MULTI_REGION_EMERGENCY,XE20240605_SUMY_GAV_CANCEL_0057|XE20240605_KH_GAV_CANCEL_0057|XE20240605_OD_GAV_ACTIVATE_2040|XE20240605_OD_GAV_CANCEL_2135|XE20240605_SUMY_GAV_ACTIVATE_2040|XE20240605_SUMY_GAV_CANCEL_2340|XE20240605_KH_GAV_ACTIVATE_2040|XE20240605_KH_GAV_CANCEL_2340,MR20240608_QUEUE_DISPATCH_SEMANTIC_BREAK|MR20241210_REGULATOR_ACTUAL_VS_PLAN,官方能够确认计划限电/小时停电表在该时段生效，但未可靠恢复全国同时启用的队列数量，因此 queue_count 留空，避免伪造强度。 置信度：high。 v2.7: 20:40起多州计划被GAV临时覆盖；Odesa 21:35提前恢复，Sumy/Kharkiv 23:40恢复计划状态。【置信度：high】,confirmed,national,GPV,primary,5,not_populated,planned_or_final_dispatch,v3.0
R20240606_NAT_001,2024-06-06,ALL,,Ukrenergo,national,household_general,hourly_schedule,,,2024-06-06 00:00:00+03:00,2024-06-07 00:00:00+03:00,,,2024-06-05 21:00:00+00:00,2024-06-06 21:00:00+00:00,,,Europe/Kyiv,dispatch_confirmed,high,官方能够确认计划限电/小时停电表在该时段生效，但未可靠恢复全国同时启用的队列数量，因此 queue_count 留空，避免伪造强度。 置信度：high。,final_dispatch,,,0,0,0,0,1,0,official_tso_archive,https://t.me/s/Ukrenergo?before=2921,,,,,,MR20240608_QUEUE_DISPATCH_SEMANTIC_BREAK|MR20241210_REGULATOR_ACTUAL_VS_PLAN,官方能够确认计划限电/小时停电表在该时段生效，但未可靠恢复全国同时启用的队列数量，因此 queue_count 留空，避免伪造强度。 置信度：high。【置信度：high】,confirmed,national,GPV,primary,5,not_populated,planned_or_final_dispatch,v3.0
R20240607_NAT_001,2024-06-07,ALL,,Ukrenergo,national,household_general,hourly_schedule,,,2024-06-07 00:00:00+03:00,2024-06-08 00:00:00+03:00,,,2024-06-06 21:00:00+00:00,2024-06-07 21:00:00+00:00,,,Europe/Kyiv,dispatch_confirmed,high,官方能够确认计划限电/小时停电表在该时段生效，但未可靠恢复全国同时启用的队列数量，因此 queue_count 留空，避免伪造强度。 置信度：high。,final_dispatch,,,0,0,0,0,1,0,official_tso_archive,https://t.me/s/Ukrenergo?before=2921,,,,,,MR20240608_QUEUE_DISPATCH_SEMANTIC_BREAK|MR20241210_REGULATOR_ACTUAL_VS_PLAN,官方能够确认计划限电/小时停电表在该时段生效，但未可靠恢复全国同时启用的队列数量，因此 queue_count 留空，避免伪造强度。 置信度：high。【置信度：high】,confirmed,national,GPV,primary,5,not_populated,planned_or_final_dispatch,v3.0
R20240608_NAT_001,2024-06-08,ALL,,Ukrenergo,national,household_general,hourly_schedule,,,2024-06-08 00:00:00+03:00,2024-06-08 05:00:00+03:00,,,2024-06-07 21:00:00+00:00,2024-06-08 02:00:00+00:00,,,Europe/Kyiv,dispatch_confirmed,medium,官方能够确认计划限电/小时停电表在该时段生效，但未可靠恢复全国同时启用的队列数量，因此 queue_count 留空，避免伪造强度。 置信度：medium。,final_dispatch,,,0,0,0,0,1,0,official_tso_archive,https://t.me/s/Ukrenergo?before=2940,,,,,,MR20241210_REGULATOR_ACTUAL_VS_PLAN,官方能够确认计划限电/小时停电表在该时段生效，但未可靠恢复全国同时启用的队列数量，因此 queue_count 留空，避免伪造强度。 置信度：medium。【置信度：medium】,confirmed,national,GPV,primary,5,not_populated,planned_or_final_dispatch,v3.0
R20240608_NAT_002,2024-06-08,ALL,,Ukrenergo,national,household_general,hourly_schedule,,,2024-06-08 16:00:00+03:00,2024-06-09 00:00:00+03:00,,,2024-06-08 13:00:00+00:00,2024-06-08 21:00:00+00:00,,,Europe/Kyiv,dispatch_confirmed,medium,官方能够确认计划限电/小时停电表在该时段生效，但未可靠恢复全国同时启用的队列数量，因此 queue_count 留空，避免伪造强度。 置信度：medium。,final_dispatch,,,0,0,0,0,1,0,official_tso_archive,https://t.me/s/Ukrenergo?before=2940,,,,,,MR20241210_REGULATOR_ACTUAL_VS_PLAN,官方能够确认计划限电/小时停电表在该时段生效，但未可靠恢复全国同时启用的队列数量，因此 queue_count 留空，避免伪造强度。 置信度：medium。【置信度：medium】,confirmed,national,GPV,primary,5,not_populated,planned_or_final_dispatch,v3.0
