merge_group_id,record_count_merged,record_ids_merged,event_date,admin1,admin2,operator,scope_type,consumer_class,restriction_type,queue_count,queue_ids_merged,planned_start_local,planned_end_local,actual_start_local,actual_end_local,planned_start_utc,planned_end_utc,actual_start_utc,actual_end_utc,timezone_name,status,confidence,schedule_version,announced_at_utc,emergency_override,attack_recovery_confounded,technical_outage_confounded,weather_confounded,confound_scope,affected_admin1,source_authority,source_url,verified_source_url,source_grade,evidence_rank,actual_time_semantics,execution_event_ids,key_event_ids,methodology_rule_ids,source_note,verification_note_zh,v40_action_summary,experiment_use_v40,audit_version,schedule_positive,confound_free,record_id,segment_id,schema_version,record_role,scope_type_norm,status_norm,queue_id,local_start,local_end,start_utc,end_utc,verified_at_utc,interval_valid,analysis_eligible,publication_eligible,final_version,event_id,independence_cluster,geo_scope_precision
MGV40_0001,1,R20240601_CHK_QSET_01_V36,2024-06-01,Cherkasy Oblast,,Cherkasyoblenergo,operator_service_area,household_general,hourly_schedule,2,"5,6",2024-06-01 18:00:00+03:00,2024-06-01 20:00:00+03:00,,,2024-06-01 15:00:00+00:00,2024-06-01 17:00:00+00:00,,,Europe/Kyiv,operator_final_update,high,same_day_final_update,,0,0,0,0,,Cherkasy Oblast,official_dso,https://t.me/s/pat_cherkasyoblenergo/263,https://t.me/s/pat_cherkasyoblenergo/263,primary,5,not_populated,,,MR20241210_REGULATOR_ACTUAL_VS_PLAN,Cherkasyoblenergo official Telegram text schedule; intervals are compressed only where adjacent hours have the identical queue set.,v3.9逐URL/逐行核验结论沿用；本轮同日修订链扫描未发现覆盖该行的新证据。,carry_forward_verified,1,v4.0,1,1,MGV40_0001,MGV40_0001,v4.0,planned_or_final_dispatch,operator_service_area,operator_final_update,"5,6",2024-06-01 18:00:00+03:00,2024-06-01 20:00:00+03:00,2024-06-01 15:00:00+00:00,2024-06-01 17:00:00+00:00,,1,1,1,1,E20240601_V4,V4_DATE_20240601,L2_operator_admin1_proxy
MGV40_0002,1,R20240601_CHK_QSET_02_V36,2024-06-01,Cherkasy Oblast,,Cherkasyoblenergo,operator_service_area,household_general,hourly_schedule,2,"1,2",2024-06-01 20:00:00+03:00,2024-06-01 22:00:00+03:00,,,2024-06-01 17:00:00+00:00,2024-06-01 19:00:00+00:00,,,Europe/Kyiv,operator_final_update,high,same_day_final_update,,0,0,0,0,,Cherkasy Oblast,official_dso,https://t.me/s/pat_cherkasyoblenergo/263,https://t.me/s/pat_cherkasyoblenergo/263,primary,5,not_populated,,,MR20241210_REGULATOR_ACTUAL_VS_PLAN,Cherkasyoblenergo official Telegram text schedule; intervals are compressed only where adjacent hours have the identical queue set.,v3.9逐URL/逐行核验结论沿用；本轮同日修订链扫描未发现覆盖该行的新证据。,carry_forward_verified,1,v4.0,1,1,MGV40_0002,MGV40_0002,v4.0,planned_or_final_dispatch,operator_service_area,operator_final_update,"1,2",2024-06-01 20:00:00+03:00,2024-06-01 22:00:00+03:00,2024-06-01 17:00:00+00:00,2024-06-01 19:00:00+00:00,,1,1,1,1,E20240601_V4,V4_DATE_20240601,L2_operator_admin1_proxy
MGV40_0003,1,R20240601_CHK_QSET_03_V36,2024-06-01,Cherkasy Oblast,,Cherkasyoblenergo,operator_service_area,household_general,hourly_schedule,2,"3,4",2024-06-01 22:00:00+03:00,2024-06-02 00:00:00+03:00,,,2024-06-01 19:00:00+00:00,2024-06-01 21:00:00+00:00,,,Europe/Kyiv,operator_final_update,high,same_day_final_update,,0,0,0,0,,Cherkasy Oblast,official_dso,https://t.me/s/pat_cherkasyoblenergo/263,https://t.me/s/pat_cherkasyoblenergo/263,primary,5,not_populated,,,MR20241210_REGULATOR_ACTUAL_VS_PLAN,Cherkasyoblenergo official Telegram text schedule; intervals are compressed only where adjacent hours have the identical queue set.,v3.9逐URL/逐行核验结论沿用；本轮同日修订链扫描未发现覆盖该行的新证据。,carry_forward_verified,1,v4.0,1,1,MGV40_0003,MGV40_0003,v4.0,planned_or_final_dispatch,operator_service_area,operator_final_update,"3,4",2024-06-01 22:00:00+03:00,2024-06-02 00:00:00+03:00,2024-06-01 19:00:00+00:00,2024-06-01 21:00:00+00:00,,1,1,1,1,E20240601_V4,V4_DATE_20240601,L2_operator_admin1_proxy
MGV40_0004,1,R20240601_VOL_OBL_001,2024-06-01,Volyn Oblast,,Volynoblenergo,oblast,household_general,hourly_schedule,,,2024-06-01 18:00:00+03:00,2024-06-01 23:00:00+03:00,,,2024-06-01 15:00:00+00:00,2024-06-01 20:00:00+00:00,,,Europe/Kyiv,confirmed,high,official_dso_final,,0,0,0,0,,Volyn Oblast,official_dso,https://energy.volyn.ua/pro-tovarystvo/novyny/gpv-gav-sgav/,https://energy.volyn.ua/pro-tovarystvo/novyny/gpv-gav-sgav/,primary,5,not_populated,,,,Volynoblenergo continuously updated official GPV/GAV/SGAV archive; final daily window reconstructed from same-day revisions where explicitly published.,v3.9逐URL/逐行核验结论沿用；本轮同日修订链扫描未发现覆盖该行的新证据。,carry_forward_verified,1,v4.0,1,1,MGV40_0004,MGV40_0004,v4.0,planned_or_final_dispatch,oblast,confirmed,,2024-06-01 18:00:00+03:00,2024-06-01 23:00:00+03:00,2024-06-01 15:00:00+00:00,2024-06-01 20:00:00+00:00,,1,1,1,1,E20240601_V4,V4_DATE_20240601,L2_admin1
MGV40_0005,1,R20240602_NAT_001,2024-06-02,ALL,,Ukrenergo,national,household_general,hourly_schedule,,,2024-06-02 01:00:00+03:00,2024-06-02 05:00:00+03:00,,,2024-06-01 22:00:00+00:00,2024-06-02 02:00:00+00:00,,,Europe/Kyiv,dispatch_confirmed,medium,final_dispatch,,0,0,0,0,,,official_tso_archive,https://t.me/s/Ukrenergo?before=2895,https://t.me/s/Ukrenergo?before=2895,primary,5,not_populated,,,MR20240608_QUEUE_DISPATCH_SEMANTIC_BREAK|MR20241210_REGULATOR_ACTUAL_VS_PLAN,,v3.9逐URL/逐行核验结论沿用；本轮同日修订链扫描未发现覆盖该行的新证据。,carry_forward_verified,1,v4.0,1,1,MGV40_0005,MGV40_0005,v4.0,planned_or_final_dispatch,national,dispatch_confirmed,,2024-06-02 01:00:00+03:00,2024-06-02 05:00:00+03:00,2024-06-01 22:00:00+00:00,2024-06-02 02:00:00+00:00,,1,1,1,1,E20240602_V4,V4_DATE_20240602,L3_national
MGV40_0006,1,R20240602_NAT_002,2024-06-02,ALL,,Ukrenergo,national,household_general,hourly_schedule,,,2024-06-02 19:00:00+03:00,2024-06-03 00:00:00+03:00,,,2024-06-02 16:00:00+00:00,2024-06-02 21:00:00+00:00,,,Europe/Kyiv,dispatch_confirmed,medium,final_dispatch,,0,0,0,0,,,official_tso_archive,https://t.me/s/Ukrenergo?before=2895,https://t.me/s/Ukrenergo?before=2895,primary,5,not_populated,,,MR20240608_QUEUE_DISPATCH_SEMANTIC_BREAK|MR20241210_REGULATOR_ACTUAL_VS_PLAN,,v3.9逐URL/逐行核验结论沿用；本轮同日修订链扫描未发现覆盖该行的新证据。,carry_forward_verified,1,v4.0,1,1,MGV40_0006,MGV40_0006,v4.0,planned_or_final_dispatch,national,dispatch_confirmed,,2024-06-02 19:00:00+03:00,2024-06-03 00:00:00+03:00,2024-06-02 16:00:00+00:00,2024-06-02 21:00:00+00:00,,1,1,1,1,E20240602_V4,V4_DATE_20240602,L3_national
MGV40_0007,1,R20240602_KHM_GPV_01_V36,2024-06-02,Khmelnytskyi Oblast,,Khmelnytskoblenergo,operator_service_area,household_general,hourly_schedule,,ALL,2024-06-02 00:00:00+03:00,2024-06-02 05:00:00+03:00,,,2024-06-01 21:00:00+00:00,2024-06-02 02:00:00+00:00,,,Europe/Kyiv,operator_final_update,high,same_day_final_update,,0,0,0,0,,Khmelnytskyi Oblast,official_dso,https://t.me/s/khmelnytskoblenergo?before=346,https://t.me/s/khmelnytskoblenergo?before=346,primary,5,not_populated,,,MR20241210_REGULATOR_ACTUAL_VS_PLAN,Official DSO archive confirms the updated 2-Jun GPV windows; queue identities are not present in recoverable text.,v3.9逐URL/逐行核验结论沿用；本轮同日修订链扫描未发现覆盖该行的新证据。,carry_forward_verified,1,v4.0,1,1,MGV40_0007,MGV40_0007,v4.0,planned_or_final_dispatch,operator_service_area,operator_final_update,ALL,2024-06-02 00:00:00+03:00,2024-06-02 05:00:00+03:00,2024-06-01 21:00:00+00:00,2024-06-02 02:00:00+00:00,,1,1,1,1,E20240602_V4,V4_DATE_20240602,L2_operator_admin1_proxy
MGV40_0008,1,R20240602_KHM_GPV_02_V36,2024-06-02,Khmelnytskyi Oblast,,Khmelnytskoblenergo,operator_service_area,household_general,hourly_schedule,,ALL,2024-06-02 18:00:00+03:00,2024-06-03 00:00:00+03:00,,,2024-06-02 15:00:00+00:00,2024-06-02 21:00:00+00:00,,,Europe/Kyiv,operator_final_update,high,same_day_final_update,,0,0,0,0,,Khmelnytskyi Oblast,official_dso,https://t.me/s/khmelnytskoblenergo?before=346,https://t.me/s/khmelnytskoblenergo?before=346,primary,5,not_populated,,,MR20241210_REGULATOR_ACTUAL_VS_PLAN,Official DSO archive confirms the updated 2-Jun GPV windows; queue identities are not present in recoverable text.,v3.9逐URL/逐行核验结论沿用；本轮同日修订链扫描未发现覆盖该行的新证据。,carry_forward_verified,1,v4.0,1,1,MGV40_0008,MGV40_0008,v4.0,planned_or_final_dispatch,operator_service_area,operator_final_update,ALL,2024-06-02 18:00:00+03:00,2024-06-03 00:00:00+03:00,2024-06-02 15:00:00+00:00,2024-06-02 21:00:00+00:00,,1,1,1,1,E20240602_V4,V4_DATE_20240602,L2_operator_admin1_proxy
MGV40_0009,1,R20240602_VOL_OBL_001,2024-06-02,Volyn Oblast,,Volynoblenergo,oblast,household_general,hourly_schedule,,,2024-06-02 00:00:00+03:00,2024-06-02 05:00:00+03:00,,,2024-06-01 21:00:00+00:00,2024-06-02 02:00:00+00:00,,,Europe/Kyiv,confirmed,high,official_dso_final,,0,0,0,0,,Volyn Oblast,official_dso,https://energy.volyn.ua/pro-tovarystvo/novyny/gpv-gav-sgav/,https://energy.volyn.ua/pro-tovarystvo/novyny/gpv-gav-sgav/,primary,5,not_populated,,,,Volynoblenergo continuously updated official GPV/GAV/SGAV archive; final daily window reconstructed from same-day revisions where explicitly published.,v3.9逐URL/逐行核验结论沿用；本轮同日修订链扫描未发现覆盖该行的新证据。,carry_forward_verified,1,v4.0,1,1,MGV40_0009,MGV40_0009,v4.0,planned_or_final_dispatch,oblast,confirmed,,2024-06-02 00:00:00+03:00,2024-06-02 05:00:00+03:00,2024-06-01 21:00:00+00:00,2024-06-02 02:00:00+00:00,,1,1,1,1,E20240602_V4,V4_DATE_20240602,L2_admin1
MGV40_0010,1,R20240602_VOL_OBL_002,2024-06-02,Volyn Oblast,,Volynoblenergo,oblast,household_general,hourly_schedule,,,2024-06-02 18:00:00+03:00,2024-06-03 00:00:00+03:00,,,2024-06-02 15:00:00+00:00,2024-06-02 21:00:00+00:00,,,Europe/Kyiv,confirmed,high,official_dso_final,,0,0,0,0,,Volyn Oblast,official_dso,https://energy.volyn.ua/pro-tovarystvo/novyny/gpv-gav-sgav/,https://energy.volyn.ua/pro-tovarystvo/novyny/gpv-gav-sgav/,primary,5,not_populated,,,,Volynoblenergo continuously updated official GPV/GAV/SGAV archive; final daily window reconstructed from same-day revisions where explicitly published.,v3.9逐URL/逐行核验结论沿用；本轮同日修订链扫描未发现覆盖该行的新证据。,carry_forward_verified,1,v4.0,1,1,MGV40_0010,MGV40_0010,v4.0,planned_or_final_dispatch,oblast,confirmed,,2024-06-02 18:00:00+03:00,2024-06-03 00:00:00+03:00,2024-06-02 15:00:00+00:00,2024-06-02 21:00:00+00:00,,1,1,1,1,E20240602_V4,V4_DATE_20240602,L2_admin1
