figure,metric,v6_value,v7_value,identical
Figure 3,power_availability AUC,0.873691768203142,0.873691768203142,True
Figure 3,power_availability AP,0.0191182419427553,0.0191182419427553,True
Figure 3,normal_availability AUC,0.868866877123648,0.868866877123648,True
Figure 3,normal_availability AP,0.0199215502685467,0.0199215502685467,True
Figure 3,prevalence,0.00338224976863463,0.00338224976863463,True
Figure 5,snapshot AUC 2024-02,0.8501309186504,0.8501309186504,True
Figure 5,snapshot AUC 2024-08,0.873691768203142,0.873691768203142,True
Figure 5,snapshot AUC 2025-03,0.874602508465324,0.874602508465324,True
Figure 5,figure5_router_binned_data_zh.csv,32935e28008051310c69a119e77f729a332494366529864b57df92a56929faf5,32935e28008051310c69a119e77f729a332494366529864b57df92a56929faf5,True
Figure 5,figure5_traceroute_binned_data_zh.csv,046871c05edebcb074f79bb37c7c804f49571c780690ff320ad2a0d150d5a0d8,046871c05edebcb074f79bb37c7c804f49571c780690ff320ad2a0d150d5a0d8,True
