scope,score,N,positive,AUC,CI_low,CI_high,average_precision,B
NATIONWIDE,power_availability,1170227,3958,0.8736917682031422,0.8643868865683791,0.8824408575079631,0.019118241942755385,2000
NATIONWIDE,normal_availability,1170227,3958,0.8688668771236475,0.8592262924188752,0.8780420697901596,0.019921550268546785,2000
Cherkasy Oblast,power_availability,108657,90,0.9393471824362425,0.8854260700468197,0.9722088756087715,0.041643219166698796,200
Cherkasy Oblast,normal_availability,108657,90,0.932020933309999,0.8778419700896799,0.9641309191111017,0.037651068504840415,200
Chernihiv Oblast,power_availability,22448,111,0.8525173559645511,0.7900296678282196,0.9065999538727577,0.01917700927128608,200
Chernihiv Oblast,normal_availability,22448,111,0.878170062438317,0.8294141067972198,0.9197798685459149,0.024509100560272487,200
Dnipropetrovsk Oblast,power_availability,163309,871,0.883304521492676,0.8679174940618047,0.89893833730719,0.0336771647648499,200
Dnipropetrovsk Oblast,normal_availability,163309,871,0.8505937420348486,0.8329947694467967,0.8696562542079933,0.028573487077191626,200
Khmelnytskyi Oblast,power_availability,70732,177,0.8819299524712659,0.8142325521688721,0.9304122214014803,0.019970764960193208,200
Khmelnytskyi Oblast,normal_availability,70732,177,0.836189141219716,0.7758592545332363,0.884376721811654,0.013931132715956036,200
Kirovohrad Oblast,power_availability,38165,81,0.9769685529453411,0.9614789297709044,0.9880871164592917,0.07047999574560704,200
Kirovohrad Oblast,normal_availability,38165,81,0.9728485180906146,0.9566129296915067,0.984220928318634,0.06314322354069063,200
Kyiv Oblast,power_availability,74981,286,0.8156960684405625,0.778704880141573,0.8496670662000323,0.02082721631781545,200
Kyiv Oblast,normal_availability,74981,286,0.7775764800164024,0.7378387358062162,0.8169301325942206,0.015187676715027293,200
Lviv Oblast,power_availability,124256,651,0.8540142708448093,0.82907391907845,0.8740127222064276,0.023640432572327414,200
Lviv Oblast,normal_availability,124256,651,0.8652000876634236,0.8456711048810861,0.8850050589578498,0.027623658842033612,200
Mykolaiv Oblast,power_availability,53697,131,0.9188705778674122,0.8897142049062824,0.9444130150123405,0.025582538505317064,200
Mykolaiv Oblast,normal_availability,53697,131,0.9138966896228182,0.885655821462666,0.9382688079110294,0.028231926335750366,200
Odesa Oblast,power_availability,173597,407,0.8997473837158576,0.8728485959054907,0.9268299259321658,0.022683166185511035,200
Odesa Oblast,normal_availability,173597,407,0.8846624185875875,0.8469507027190147,0.9172524921108854,0.01604678789747819,200
Poltava Oblast,power_availability,76262,179,0.919274833416637,0.8943402993302338,0.9441934354317777,0.03651287807239818,200
Poltava Oblast,normal_availability,76262,179,0.8730254308419567,0.8440175438259973,0.9029447469159495,0.020268604162099697,200
Rivne Oblast,power_availability,31004,113,0.7048596220281246,0.6523754530613886,0.7478600945052786,0.00625646241488352,200
Rivne Oblast,normal_availability,31004,113,0.8035921623361388,0.7514070457584462,0.8471536744756607,0.010666683436689996,200
Sumy Oblast,power_availability,32803,114,0.8081388234574323,0.7726670619002983,0.8473917530972738,0.010836058425668654,200
Sumy Oblast,normal_availability,32803,114,0.8486573089396992,0.8046617173150321,0.8879903820197385,0.01543646221114998,200
Vinnytsia Oblast,power_availability,77063,116,0.9048724424290254,0.8716067817234883,0.9381132393330767,0.01568341866699597,200
Vinnytsia Oblast,normal_availability,77063,116,0.9164164944702198,0.8874983193976708,0.9422589785287326,0.013067121796416153,200
Volyn Oblast,power_availability,14775,96,0.9001972063264981,0.8607961635320633,0.9370960217941383,0.04934455727158741,200
Volyn Oblast,normal_availability,14775,96,0.8523776880804778,0.8108191530508837,0.8974863696578861,0.03814695746159155,200
Zakarpattia Oblast,power_availability,30115,224,0.8432531800064043,0.8188018331060455,0.8697041407817302,0.025005284126205323,200
Zakarpattia Oblast,normal_availability,30115,224,0.8886933537089521,0.8604845842351396,0.9163804673712388,0.04310683211295549,200
Zaporizhzhia Oblast,power_availability,51584,225,0.8134148510160504,0.7826210233272555,0.8398653921551809,0.012460354413332857,200
Zaporizhzhia Oblast,normal_availability,51584,225,0.8341265298086886,0.7993443455151958,0.861558891331685,0.014770426208546893,200
Zhytomyr Oblast,power_availability,26779,86,0.8299305888923061,0.7826015562947074,0.8593673683762625,0.009720156825010212,200
Zhytomyr Oblast,normal_availability,26779,86,0.8494313899907562,0.8000216413232927,0.8901333443532575,0.011510037747810516,200
