"cycle_id","measure_time","measurement_row_n","prefix24_estimate_n","distinct_target_ip_estimate_n","structured_path_nonempty_row_n","reached_target_row_n","responded_hop_sum","star_hop_sum","target_hash_xor","target_hash_sum","measurement_hash_xor","measurement_hash_sum"
202406221628,"2024-06-22 08:28:49.000000",169008,42802,169098,169008,21388,1018745,417401,80804988253462665,13961024049443134877,7592597064392204217,2292091255707536949
202406221728,"2024-06-22 09:28:49.000000",168634,42802,168757,168634,20829,989025,432236,4029296450629456010,133889578106112944,10461884952384228330,17429874197009234348
202406221828,"2024-06-22 10:28:49.000000",168460,42802,168663,168460,21004,1000300,430310,15710333957073277275,7626639229719689119,8539825491048497814,18408930325327183414
202406221928,"2024-06-22 11:28:49.000000",168255,42802,168529,168255,21554,979061,446240,9480931514507581077,14017722528379109955,571120390392692484,17204097573197230586
202406222028,"2024-06-22 12:28:49.000000",168530,42802,168725,168530,23034,982286,454249,15139795834404139599,3827855954806899253,4114806451382096969,16605595438953382007
202406222128,"2024-06-22 13:28:49.000000",168557,42802,167538,168557,23833,1000076,442798,3221099692853418666,14406396816086422544,112205804857882587,12913968074550190991
202406222228,"2024-06-22 14:28:49.000000",168354,42802,168794,168354,23780,986339,454810,5462299035662209689,12955455320461544413,17224881416086429334,12332278273740399480
202406222328,"2024-06-22 15:28:49.000000",168683,42802,169106,168683,23489,1010355,436731,8157828075315752903,11949840119672397581,4622109907519646769,9457054754948365607
202406230028,"2024-06-22 16:28:49.000000",168022,42802,167977,168022,23565,980615,455489,8281730242928046498,14851754528149325518,14272263038574469076,17461025833230312520
202406230128,"2024-06-22 17:28:49.000000",168140,42802,168309,168140,23616,986996,454760,955297863380301447,17087206314916980891,18355893918538661917,1471553334169466547
202406230228,"2024-06-22 18:28:49.000000",168134,42802,168081,168134,23072,980553,452798,7816001217817238117,7497908816550488185,5321334363126042728,16420503131397563760
202406230328,"2024-06-22 19:28:49.000000",168093,42802,167653,168093,23455,973702,459640,11815956616034799260,14062354349890558718,7774854964665709084,323764799231814454
202406230428,"2024-06-22 20:28:49.000000",168382,42802,167783,168382,23882,1005856,438740,6149024115048083071,7141504133290582475,9507369684694055495,4564217781646925809
202406230528,"2024-06-22 21:28:49.000000",170778,42802,170072,170778,23911,1233353,278492,13900063787858243446,2382177126213804512,2655029437120430069,6152747458015589567
202406230628,"2024-06-22 22:28:49.000000",170868,42802,170553,170868,24217,1259742,262632,12471543981012185081,8366600552290262097,15989759546263601568,6249734211020715712
202406230728,"2024-06-22 23:28:49.000000",170859,42802,170457,170859,24407,1263134,259626,13788196292701767213,6517590160087880393,8713071191225179634,5869352009455178748
202406230828,"2024-06-23 00:28:49.000000",170897,42802,171493,170897,23032,1268665,245772,12102102401120479272,13348033698935106386,13143597935462058809,16984419526176167569
202406230928,"2024-06-23 01:28:49.000000",170945,42802,171286,170945,22704,1267000,247496,13186616477286772549,16380398712424835561,10539516195603176770,5850272960233229080
202406231028,"2024-06-23 02:28:49.000000",170887,42802,170167,170887,22868,1263399,253422,17501494867738214017,9517737671899319949,17427372843377736057,5925250431709436661
202406231128,"2024-06-23 03:28:49.000000",170865,42802,170497,170865,23075,1265394,250713,10458351925055650393,7316941268872813383,12338217292314391752,17292164225805343450
202406231228,"2024-06-23 04:28:49.000000",170820,42802,170230,170820,22376,1262790,248597,13274598465424071928,9578200856645706012,14650502328118659413,6380772260820284085
202406231328,"2024-06-23 05:28:49.000000",170935,42802,170795,170935,22650,1269391,246779,5346607852223634087,16631503867372382621,9607232586505244384,16115230671160192484
202406231428,"2024-06-23 06:28:49.000000",170904,42802,170677,170904,23158,1263558,253022,6591504884331891106,13223788408296576724,3538369515239268281,11374923593012721765
202406231528,"2024-06-23 07:28:49.000000",170839,42802,170766,170839,23120,1261463,255019,393123984503662677,4712838328931620165,15828960790285668372,8244792239985641124
202406231628,"2024-06-23 08:28:49.000000",170852,42802,170523,170852,23156,1261583,254904,8244532282254880133,17739189223456625597,5448064545377646522,8080166247218633842
202406231728,"2024-06-23 09:28:49.000000",170893,42802,171619,170893,23047,1264574,253418,6068181079408036008,16000520143021156590,1270722534303267110,8735149187961323110
202406231828,"2024-06-23 10:28:49.000000",170885,42802,171282,170885,22730,1262794,250378,14131294035756740399,6344622579764375577,14613469358241653389,15642244538612813275
202406231928,"2024-06-23 11:28:49.000000",170950,42802,170891,170950,22828,1262371,248149,17452566996620895947,13442364823601092453,2005859466522717165,10665301571316581059
202406232028,"2024-06-23 12:28:49.000000",170900,42802,171182,170900,24451,1261620,255222,14600648839655206432,6176708967599726672,3780669597646990819,6371018867208875779
202406232128,"2024-06-23 13:28:49.000000",170923,42802,171108,170923,21054,1267495,244734,4743331007185238022,13310580435957801384,13944912691383011280,1691465578560259372
202406232228,"2024-06-23 14:28:49.000000",170895,42802,170281,170895,20933,1266059,244269,8944873474381976905,1208573985094647951,16238792371909026725,3576984554682539561
202406232328,"2024-06-23 15:28:49.000000",170966,42802,170292,170966,20631,1269983,239182,10027416279233626219,13928737091892961229,11210987472924120510,2984649446657676400
202406240028,"2024-06-23 16:28:49.000000",170831,42802,170505,170831,20390,1259297,244404,14176366241044165565,10999813432864162435,13584550200858395801,2150651976230250565
