month_file,address_class,unique_ip_n
observed_hops_202406.csv,documentation_203,1
observed_hops_202406.csv,public,34979
observed_hops_202406.csv,reserved,1325
observed_hops_202406.csv,shared_cgnat,1073
observed_hops_202407.csv,documentation_203,1
observed_hops_202407.csv,public,42396
observed_hops_202407.csv,reserved,1301
observed_hops_202407.csv,shared_cgnat,1293
observed_hops_202408.csv,documentation_203,1
observed_hops_202408.csv,public,42193
observed_hops_202408.csv,reserved,1137
observed_hops_202408.csv,shared_cgnat,1901
observed_hops_202409.csv,documentation_203,1
observed_hops_202409.csv,ietf_protocol_assignments,1
observed_hops_202409.csv,public,41287
observed_hops_202409.csv,reserved,1836
observed_hops_202409.csv,shared_cgnat,2644
observed_hops_202410.csv,documentation_203,3
observed_hops_202410.csv,ietf_protocol_assignments,1
observed_hops_202410.csv,public,42921
observed_hops_202410.csv,reserved,1927
observed_hops_202410.csv,shared_cgnat,3399
observed_hops_202411.csv,documentation_203,2
observed_hops_202411.csv,private_10,1
observed_hops_202411.csv,public,44738
observed_hops_202411.csv,reserved,2020
observed_hops_202411.csv,shared_cgnat,3538
observed_hops_202412.csv,documentation_203,2
observed_hops_202412.csv,private_10,12
observed_hops_202412.csv,public,44884
observed_hops_202412.csv,reserved,1765
observed_hops_202412.csv,shared_cgnat,3331
observed_hops_202501.csv,private_10,1
observed_hops_202501.csv,public,37758
observed_hops_202501.csv,reserved,1579
observed_hops_202501.csv,shared_cgnat,2448
