ip,prefix24,oblast,power_availability,normal_availability,itdk_202408_T,own_traceroute_intermediate,first_seen,last_seen,intermediate_observation_n,terminal_non_target_observation_n,target_address_observation_n,hop_position_min,hop_position_max,frozen_own_traceroute_intermediate,rebuilt_own_traceroute_intermediate,caida_itdk_202408_transit,difference_reason
109.108.253.99,109.108.253.0,Vinnytsia Oblast,0.4090909090909091,0.13636363636363635,0,1,2025-01-03 00:33:30.000000,2025-01-03 00:33:30.000000,0,1,0,11.0,11.0,1,0,0,observed_only_as_terminal_endpoint_under_strict_rule
109.162.68.252,109.162.68.0,Poltava Oblast,0.9326923076923077,0.8701923076923077,0,1,2024-10-01 09:41:24.000000,2024-10-29 03:41:22.000000,0,1,12,6.0,19.0,1,0,0,observed_only_as_terminal_endpoint_under_strict_rule
109.200.230.91,109.200.230.0,Odesa Oblast,0.16666666666666666,0.175,0,1,2024-08-09 22:41:27.000000,2024-08-24 00:41:29.000000,0,1,5,10.0,10.0,1,0,0,observed_only_as_terminal_endpoint_under_strict_rule
109.206.32.95,109.206.32.0,Dnipropetrovsk Oblast,0.6923076923076923,0.4230769230769231,0,1,2024-10-28 22:41:30.000000,2024-11-29 14:42:06.000000,0,3,7,10.0,30.0,1,0,0,observed_only_as_terminal_endpoint_under_strict_rule
109.206.34.124,109.206.34.0,Dnipropetrovsk Oblast,0.19230769230769232,0.20192307692307693,0,1,2024-08-09 13:41:28.000000,2024-08-30 07:41:30.000000,0,4,11,12.0,20.0,1,0,0,observed_only_as_terminal_endpoint_under_strict_rule
109.206.34.202,109.206.34.0,Dnipropetrovsk Oblast,0.6153846153846154,0.40384615384615385,0,1,2024-10-01 04:41:29.000000,2024-10-31 11:41:33.000000,0,1,11,11.0,21.0,1,0,0,observed_only_as_terminal_endpoint_under_strict_rule
109.206.35.113,109.206.35.0,Dnipropetrovsk Oblast,0.038461538461538464,0.25,0,1,2024-12-01 01:42:08.000000,2024-12-30 08:42:10.000000,0,2,7,10.0,12.0,1,0,0,observed_only_as_terminal_endpoint_under_strict_rule
109.206.35.120,109.206.35.0,Dnipropetrovsk Oblast,0.6538461538461539,0.5384615384615384,0,1,2024-07-09 08:41:29.000000,2024-08-31 05:41:32.000000,0,47,22,11.0,24.0,1,0,0,observed_only_as_terminal_endpoint_under_strict_rule
109.206.35.179,109.206.35.0,Dnipropetrovsk Oblast,0.0,0.028846153846153848,0,1,2024-11-09 19:41:26.000000,2024-11-29 14:42:06.000000,0,1,9,10.0,18.0,1,0,0,observed_only_as_terminal_endpoint_under_strict_rule
109.206.37.145,109.206.37.0,Dnipropetrovsk Oblast,0.2692307692307692,0.038461538461538464,0,1,2024-09-05 13:41:27.000000,2024-09-26 20:41:27.000000,0,2,7,11.0,22.0,1,0,0,observed_only_as_terminal_endpoint_under_strict_rule
109.206.38.150,109.206.38.0,Dnipropetrovsk Oblast,0.0,0.038461538461538464,0,1,2024-12-11 00:42:13.000000,2024-12-29 17:42:15.000000,0,4,8,11.0,21.0,1,0,0,observed_only_as_terminal_endpoint_under_strict_rule
109.206.40.125,109.206.40.0,Dnipropetrovsk Oblast,0.6923076923076923,0.3942307692307692,1,1,2024-08-10 07:41:29.000000,2024-08-31 07:44:50.000000,0,8,5,12.0,25.0,1,0,1,observed_only_as_terminal_endpoint_under_strict_rule
109.206.40.199,109.206.40.0,Dnipropetrovsk Oblast,0.11538461538461539,0.17307692307692307,0,1,2024-12-04 13:42:19.000000,2024-12-30 10:42:08.000000,0,3,6,11.0,22.0,1,0,0,observed_only_as_terminal_endpoint_under_strict_rule
109.206.41.127,109.206.41.0,Dnipropetrovsk Oblast,0.0,0.09615384615384616,0,1,2024-08-07 07:41:32.000000,2024-08-31 06:41:27.000000,0,1,2,12.0,16.0,1,0,0,observed_only_as_terminal_endpoint_under_strict_rule
109.206.41.166,109.206.41.0,Dnipropetrovsk Oblast,0.0,0.0,0,1,2024-06-23 22:41:28.000000,2024-06-25 08:41:31.000000,0,1,1,12.0,12.0,1,0,0,observed_only_as_terminal_endpoint_under_strict_rule
109.206.41.229,109.206.41.0,Dnipropetrovsk Oblast,0.38461538461538464,0.27884615384615385,0,1,2024-09-07 01:41:29.000000,2024-09-28 21:41:29.000000,0,3,17,11.0,28.0,1,0,0,observed_only_as_terminal_endpoint_under_strict_rule
