ip,prefix24,oblast,power_availability,normal_availability,itdk_202408_T,own_traceroute_intermediate,first_seen,last_seen,intermediate_observation_n,terminal_non_target_observation_n,target_address_observation_n,hop_position_min,hop_position_max,frozen_own_traceroute_intermediate,rebuilt_own_traceroute_intermediate,caida_itdk_202408_transit
109.162.115.252,109.162.115.0,Odesa Oblast,0.6,0.5,1,1,2024-06-22 08:50:08.000000,2025-01-09 14:42:14.000000,5219,20520,72,5.0,23.0,1,1,1
109.162.115.253,109.162.115.0,Odesa Oblast,0.7666666666666667,0.6833333333333333,1,1,2024-06-22 08:50:08.000000,2025-01-09 14:42:14.000000,5440,20666,97,5.0,31.0,1,1,1
109.162.117.252,109.162.117.0,Odesa Oblast,0.9,0.8583333333333333,1,1,2024-06-22 08:50:09.000000,2025-01-09 14:42:14.000000,2207,10527,61,5.0,21.0,1,1,1
109.162.117.253,109.162.117.0,Odesa Oblast,0.9,0.9083333333333333,1,1,2024-06-22 08:50:09.000000,2025-01-09 14:42:14.000000,2483,10764,67,5.0,23.0,1,1,1
109.162.119.253,109.162.119.0,Mykolaiv Oblast,0.7894736842105263,0.868421052631579,1,1,2024-06-22 08:50:09.000000,2025-01-09 14:42:14.000000,424,3866,79,5.0,22.0,1,1,1
109.162.15.252,109.162.15.0,Khmelnytskyi Oblast,0.9534883720930233,0.8081395348837209,1,1,2024-06-22 08:50:05.000000,2025-01-09 14:42:10.000000,5553,20608,46,5.0,20.0,1,1,1
109.162.15.253,109.162.15.0,Khmelnytskyi Oblast,0.9069767441860465,0.8662790697674418,1,1,2024-06-22 08:50:05.000000,2025-01-09 14:42:10.000000,3689,21496,93,5.0,28.0,1,1,1
109.162.19.252,109.162.19.0,Khmelnytskyi Oblast,0.7441860465116279,0.8953488372093024,1,1,2024-06-22 09:50:26.000000,2025-01-09 14:42:10.000000,3349,9977,70,5.0,18.0,1,1,1
109.162.19.253,109.162.19.0,Khmelnytskyi Oblast,0.8837209302325582,0.9302325581395349,1,1,2024-06-22 08:50:05.000000,2025-01-09 14:42:10.000000,3388,9852,65,5.0,17.0,1,1,1
109.162.21.252,109.162.21.0,Khmelnytskyi Oblast,0.9767441860465116,0.9302325581395349,1,1,2024-06-22 08:50:05.000000,2025-01-09 14:42:10.000000,2900,10349,69,5.0,28.0,1,1,1
109.162.21.253,109.162.21.0,Khmelnytskyi Oblast,1.0,0.936046511627907,1,1,2024-06-22 08:50:05.000000,2025-01-09 14:42:10.000000,3052,10104,75,5.0,25.0,1,1,1
109.162.22.252,109.162.22.0,Rivne Oblast,1.0,0.9375,1,1,2024-06-22 08:50:06.000000,2025-01-09 14:42:10.000000,253,6006,81,5.0,19.0,1,1,1
109.162.22.253,109.162.22.0,Rivne Oblast,1.0,0.9375,1,1,2024-06-22 08:50:06.000000,2025-01-09 14:42:10.000000,272,5685,52,5.0,20.0,1,1,1
109.162.23.252,109.162.23.0,Khmelnytskyi Oblast,0.9767441860465116,0.9709302325581395,1,1,2024-06-22 08:50:06.000000,2025-01-09 14:42:10.000000,1702,4836,73,5.0,18.0,1,1,1
109.162.23.253,109.162.23.0,Khmelnytskyi Oblast,0.9534883720930233,0.9534883720930233,1,1,2024-06-22 08:50:06.000000,2025-01-09 14:42:10.000000,1757,4716,86,5.0,18.0,1,1,1
109.162.24.252,109.162.24.0,Khmelnytskyi Oblast,0.9767441860465116,0.936046511627907,1,1,2024-06-22 08:50:06.000000,2025-01-09 14:42:10.000000,1003,5436,88,5.0,13.0,1,1,1
109.162.24.253,109.162.24.0,Khmelnytskyi Oblast,0.9302325581395349,0.9418604651162791,1,1,2024-06-22 08:50:06.000000,2025-01-09 13:42:12.000000,932,5479,72,5.0,22.0,1,1,1
109.162.25.252,109.162.25.0,Khmelnytskyi Oblast,0.9534883720930233,0.9302325581395349,1,1,2024-06-22 08:50:06.000000,2025-01-09 13:42:12.000000,1054,5256,77,5.0,29.0,1,1,1
109.162.25.253,109.162.25.0,Khmelnytskyi Oblast,0.9534883720930233,0.9534883720930233,1,1,2024-06-22 08:50:06.000000,2025-01-09 14:42:10.000000,1355,5167,68,5.0,23.0,1,1,1
109.162.26.252,109.162.26.0,Rivne Oblast,1.0,1.0,1,1,2024-06-22 08:50:06.000000,2025-01-09 14:42:10.000000,414,5744,68,5.0,15.0,1,1,1
109.162.26.253,109.162.26.0,Rivne Oblast,1.0,1.0,1,1,2024-06-22 08:50:06.000000,2025-01-09 14:42:10.000000,472,5245,79,5.0,25.0,1,1,1
109.162.27.252,109.162.27.0,Volyn Oblast,0.9602446483180428,0.9457186544342507,1,1,2024-06-22 08:50:06.000000,2025-01-09 14:42:10.000000,863,5595,70,5.0,30.0,1,1,1
109.162.27.253,109.162.27.0,Volyn Oblast,0.9724770642201835,0.9648318042813455,1,1,2024-06-22 08:50:06.000000,2025-01-09 14:42:10.000000,1371,5118,82,5.0,19.0,1,1,1
109.162.28.252,109.162.28.0,Lviv Oblast,1.0,0.7916666666666666,1,1,2024-06-22 08:50:06.000000,2025-01-09 14:42:10.000000,1420,5052,59,5.0,22.0,1,1,1
109.162.28.253,109.162.28.0,Lviv Oblast,1.0,0.9166666666666666,1,1,2024-06-22 08:50:06.000000,2025-01-09 14:42:10.000000,1198,5164,73,5.0,25.0,1,1,1
109.162.29.252,109.162.29.0,Lviv Oblast,0.8333333333333334,0.75,1,1,2024-06-22 08:50:06.000000,2025-01-09 12:42:12.000000,1610,4786,75,5.0,22.0,1,1,1
109.162.29.253,109.162.29.0,Lviv Oblast,1.0,0.7916666666666666,1,1,2024-06-22 08:50:06.000000,2025-01-09 14:42:10.000000,1586,4952,70,5.0,12.0,1,1,1
109.162.30.252,109.162.30.0,Lviv Oblast,1.0,0.8333333333333334,1,1,2024-06-22 08:50:06.000000,2025-01-09 14:42:10.000000,1724,4760,79,5.0,25.0,1,1,1
109.162.30.253,109.162.30.0,Lviv Oblast,1.0,0.875,1,1,2024-06-22 08:50:06.000000,2025-01-09 14:42:10.000000,1262,5152,65,5.0,22.0,1,1,1
109.162.31.252,109.162.31.0,Volyn Oblast,0.9418960244648318,0.9113149847094801,1,1,2024-06-22 08:50:06.000000,2025-01-09 14:42:10.000000,833,5568,68,5.0,19.0,1,1,1
