event_id,oblast,event_date,evidence_tier
CAL_UA71_20240622,Cherkasy Oblast,2024-06-22,P2
CAL_UA51_20240622,Odesa Oblast,2024-06-22,P2
CAL_UA53_20240622,Poltava Oblast,2024-06-22,P1
CAL_UA07_20240622,Volyn Oblast,2024-06-22,P1
CAL_UA71_20240623,Cherkasy Oblast,2024-06-23,P2
CAL_UA51_20240623,Odesa Oblast,2024-06-23,P2
CAL_UA07_20240623,Volyn Oblast,2024-06-23,P1
CAL_UA71_20240624,Cherkasy Oblast,2024-06-24,P2
CAL_UA07_20240624,Volyn Oblast,2024-06-24,P1
CAL_UA71_20240625,Cherkasy Oblast,2024-06-25,P2
CAL_UA07_20240625,Volyn Oblast,2024-06-25,P1
CAL_UA71_20240626,Cherkasy Oblast,2024-06-26,P2
CAL_UA53_20240626,Poltava Oblast,2024-06-26,P1
CAL_UA07_20240626,Volyn Oblast,2024-06-26,P1
CAL_UA71_20240627,Cherkasy Oblast,2024-06-27,P2
CAL_UA53_20240627,Poltava Oblast,2024-06-27,P1
CAL_UA07_20240627,Volyn Oblast,2024-06-27,P1
CAL_UA71_20240628,Cherkasy Oblast,2024-06-28,P2
CAL_UA07_20240628,Volyn Oblast,2024-06-28,P1
CAL_UA53_20240629,Poltava Oblast,2024-06-29,P1
CAL_UA07_20240629,Volyn Oblast,2024-06-29,P1
CAL_UA71_20240630,Cherkasy Oblast,2024-06-30,P2
CAL_UA07_20240630,Volyn Oblast,2024-06-30,P1
CAL_UA07_20240701,Volyn Oblast,2024-07-01,P1
CAL_UA07_20240702,Volyn Oblast,2024-07-02,P1
CAL_UA07_20240703,Volyn Oblast,2024-07-03,P1
CAL_UA07_20240704,Volyn Oblast,2024-07-04,P1
CAL_UA53_20240705,Poltava Oblast,2024-07-05,P1
CAL_UA07_20240705,Volyn Oblast,2024-07-05,P1
CAL_UA71_20240706,Cherkasy Oblast,2024-07-06,P2
CAL_UA53_20240706,Poltava Oblast,2024-07-06,P1
CAL_UA07_20240706,Volyn Oblast,2024-07-06,P1
CAL_UA71_20240707,Cherkasy Oblast,2024-07-07,P2
CAL_UA32_20240707,Kyiv Oblast,2024-07-07,P1
CAL_UA46_20240707,Lviv Oblast,2024-07-07,P1
CAL_UA51_20240707,Odesa Oblast,2024-07-07,P2
CAL_UA53_20240707,Poltava Oblast,2024-07-07,P1
CAL_UA07_20240707,Volyn Oblast,2024-07-07,P1
CAL_UA53_20240708,Poltava Oblast,2024-07-08,P1
CAL_UA07_20240708,Volyn Oblast,2024-07-08,P1
CAL_UA07_20240709,Volyn Oblast,2024-07-09,P1
CAL_UA71_20240710,Cherkasy Oblast,2024-07-10,P2
CAL_UA35_20240710,Kirovohrad Oblast,2024-07-10,P2
CAL_UA07_20240710,Volyn Oblast,2024-07-10,P1
CAL_UA07_20240711,Volyn Oblast,2024-07-11,P1
CAL_UA07_20240712,Volyn Oblast,2024-07-12,P1
CAL_UA07_20240713,Volyn Oblast,2024-07-13,P1
CAL_UA07_20240714,Volyn Oblast,2024-07-14,P1
CAL_UA53_20240715,Poltava Oblast,2024-07-15,P1
CAL_UA07_20240715,Volyn Oblast,2024-07-15,P1
CAL_UA07_20240716,Volyn Oblast,2024-07-16,P1
CAL_UA71_20240717,Cherkasy Oblast,2024-07-17,P2
CAL_UA68_20240717,Khmelnytskyi Oblast,2024-07-17,P2
CAL_UA35_20240717,Kirovohrad Oblast,2024-07-17,P2
CAL_UA53_20240717,Poltava Oblast,2024-07-17,P1
CAL_UA05_20240717,Vinnytsia Oblast,2024-07-17,P2
