event_id,native_mechanism,oblast,start_time,end_time,time_precision,verification_status,is_power_event,is_war_event,included_in_main_power_analysis,main_cohort_match_note
X2024_0610,scheduled,ALL,2024-06-10 13:00:00,2024-06-10 19:00:00,interval,frozen_registry,1,0,False,NOT DIRECTLY MAPPABLE: V3 taxonomy event_id namespace differs from main cache event_id
X2024_0621,scheduled,ALL,2024-06-20 21:00:00,2024-06-21 21:00:00,interval,frozen_registry,1,0,False,NOT DIRECTLY MAPPABLE: V3 taxonomy event_id namespace differs from main cache event_id
X2024_0624,scheduled,ALL,2024-06-23 21:00:00,2024-06-24 21:00:00,interval,frozen_registry,1,0,False,NOT DIRECTLY MAPPABLE: V3 taxonomy event_id namespace differs from main cache event_id
X2024_0707_A,scheduled,ALL,2024-07-06 21:00:00,2024-07-07 04:00:00,interval,frozen_registry,1,0,False,NOT DIRECTLY MAPPABLE: V3 taxonomy event_id namespace differs from main cache event_id
X2024_0707_B,scheduled,ALL,2024-07-07 12:00:00,2024-07-07 21:00:00,interval,frozen_registry,1,0,False,NOT DIRECTLY MAPPABLE: V3 taxonomy event_id namespace differs from main cache event_id
X2024_0720_A,scheduled,ALL,2024-07-19 21:00:00,2024-07-19 23:00:00,interval,frozen_registry,1,0,False,NOT DIRECTLY MAPPABLE: V3 taxonomy event_id namespace differs from main cache event_id
X2024_0720_B,scheduled,ALL,2024-07-20 02:00:00,2024-07-20 21:00:00,interval,frozen_registry,1,0,False,NOT DIRECTLY MAPPABLE: V3 taxonomy event_id namespace differs from main cache event_id
X2024_0728,scheduled,ALL,2024-07-28 15:00:00,2024-07-28 19:00:00,interval,frozen_registry,1,0,False,NOT DIRECTLY MAPPABLE: V3 taxonomy event_id namespace differs from main cache event_id
X2024_0819,scheduled,ALL,2024-08-19 14:00:00,2024-08-19 18:00:00,interval,frozen_registry,1,0,False,NOT DIRECTLY MAPPABLE: V3 taxonomy event_id namespace differs from main cache event_id
X2024_0820,scheduled,ALL,2024-08-20 13:00:00,2024-08-20 21:00:00,interval,frozen_registry,1,0,False,NOT DIRECTLY MAPPABLE: V3 taxonomy event_id namespace differs from main cache event_id
X2024_0821,scheduled,ALL,2024-08-21 12:30:00,2024-08-21 21:00:00,interval,frozen_registry,1,0,False,NOT DIRECTLY MAPPABLE: V3 taxonomy event_id namespace differs from main cache event_id
X2024_0826,emergency,ALL,2024-08-26 05:10:00,2024-09-06 21:00:00,interval,frozen_registry,1,0,False,NOT DIRECTLY MAPPABLE: V3 taxonomy event_id namespace differs from main cache event_id
X2024_0917,emergency,Sumy Oblast,2024-09-17 04:00:00,2024-09-18 22:00:00,interval,frozen_registry,1,0,False,NOT DIRECTLY MAPPABLE: V3 taxonomy event_id namespace differs from main cache event_id
X2024_1117,emergency,Volyn Oblast|Rivne Oblast|Lviv Oblast|Odesa Oblast|Dnipropetrovsk Oblast|Zaporizhzhia Oblast,2024-11-17 04:00:00,2024-11-21 00:00:00,interval,frozen_registry,1,0,False,NOT DIRECTLY MAPPABLE: V3 taxonomy event_id namespace differs from main cache event_id
X2024_1128,emergency,Lviv Oblast|Rivne Oblast|Volyn Oblast|Khmelnytskyi Oblast|Zhytomyr Oblast,2024-11-28 04:00:00,2024-12-01 23:59:59,interval,frozen_registry,1,0,False,NOT DIRECTLY MAPPABLE: V3 taxonomy event_id namespace differs from main cache event_id
X2024_1209,scheduled,ALL,2024-12-09 06:00:00,2024-12-09 17:00:00,interval,frozen_registry,1,0,False,NOT DIRECTLY MAPPABLE: V3 taxonomy event_id namespace differs from main cache event_id
X2024_1213,emergency,ALL,2024-12-13 04:00:00,2024-12-15 22:00:00,interval,frozen_registry,1,0,False,NOT DIRECTLY MAPPABLE: V3 taxonomy event_id namespace differs from main cache event_id
X2024_1225,emergency,ALL,2024-12-25 04:00:00,2024-12-28 22:00:00,interval,frozen_registry,1,0,False,NOT DIRECTLY MAPPABLE: V3 taxonomy event_id namespace differs from main cache event_id
X2025_0115,preventive_emergency,Kharkiv Oblast|Sumy Oblast|Poltava Oblast|Zaporizhzhia Oblast|Dnipropetrovsk Oblast|Kirovohrad Oblast,2025-01-15 06:39:00,2025-01-17 22:00:00,interval,frozen_registry,1,0,False,NOT DIRECTLY MAPPABLE: V3 taxonomy event_id namespace differs from main cache event_id
KE20240601_MAJOR_ATTACK,generation_and_grid_damage,Donetsk Oblast|Zaporizhzhia Oblast|Dnipropetrovsk Oblast|Kirovohrad Oblast|Ivano-Frankivsk Oblast,,,overnight/date-level,frozen_registry,0,1,False,NOT DIRECTLY MAPPABLE: V3 taxonomy event_id namespace differs from main cache event_id
KE20240620_MAJOR_ATTACK,physical_outage_and_generation_damage,Vinnytsia Oblast|Dnipropetrovsk Oblast|Donetsk Oblast|Kyiv Oblast,,,early-morning/date-level,frozen_registry,0,1,False,NOT DIRECTLY MAPPABLE: V3 taxonomy event_id namespace differs from main cache event_id
KE20240622_MAJOR_ATTACK,transmission_damage,Zaporizhzhia Oblast|Lviv Oblast,,,overnight/date-level,frozen_registry,0,1,False,NOT DIRECTLY MAPPABLE: V3 taxonomy event_id namespace differs from main cache event_id
KE20240706_SUMY_ATTACK,emergency_outage,Sumy Oblast,,,overnight/date-level,frozen_registry,0,1,False,NOT DIRECTLY MAPPABLE: V3 taxonomy event_id namespace differs from main cache event_id
KE20240716_EQUIPMENT_FAILURE,queue_escalation_and_emergency_outage,Kharkiv Oblast|Sumy Oblast|Poltava Oblast|Zaporizhzhia Oblast|Donetsk Oblast|Dnipropetrovsk Oblast|Kirovohrad Oblast,2024-07-16 10:00:00+03:00,,start-minute/end-unknown,frozen_registry,0,0,False,NOT DIRECTLY MAPPABLE: V3 taxonomy event_id namespace differs from main cache event_id
KE20240813_NORTH_ATTACK,temporary_local_outage,Sumy Oblast|Chernihiv Oblast,,,overnight/date-level,frozen_registry,0,1,False,NOT DIRECTLY MAPPABLE: V3 taxonomy event_id namespace differs from main cache event_id
KE20240826_MAJOR_ATTACK,nationwide_unscheduled_blackout,15 regions + Kyiv City (UN-verified broad impact),,,morning/date-level,frozen_registry,0,1,False,NOT DIRECTLY MAPPABLE: V3 taxonomy event_id namespace differs from main cache event_id
KE20240904_NPP_DERATE,generation_reduction,Mykolaiv Oblast / national grid,,,date-level,frozen_registry,0,0,False,NOT DIRECTLY MAPPABLE: V3 taxonomy event_id namespace differs from main cache event_id
KE20240912_KONOTOP_ATTACK,city_blackout,Sumy Oblast,,,overnight/date-level,frozen_registry,0,1,False,NOT DIRECTLY MAPPABLE: V3 taxonomy event_id namespace differs from main cache event_id
KE20240917_SUMY_ATTACK,large_regional_blackout,Sumy Oblast|Chernihiv Oblast,,,attack onset bounded; restoration transitions exact; 07:00 residual state exact,frozen_registry,0,1,False,NOT DIRECTLY MAPPABLE: V3 taxonomy event_id namespace differs from main cache event_id
KE20241111_PREVENTIVE_EMERGENCY,preventive_emergency_outage,multiple oblasts; Cherkasy exact start recovered,2024-11-11 06:31:00+02:00,,one-region exact start; broader end approximate,frozen_registry,0,0,False,NOT DIRECTLY MAPPABLE: V3 taxonomy event_id namespace differs from main cache event_id
KE20241117_MAJOR_ATTACK,emergency_outages_and_followon_rationing,multiple regions nationwide; especially Odesa and several western/southeastern oblasts,,,date-level,frozen_registry,0,1,False,NOT DIRECTLY MAPPABLE: V3 taxonomy event_id namespace differs from main cache event_id
KE20241128_MAJOR_ATTACK,emergency_outages,Volyn Oblast|Rivne Oblast|Lviv Oblast|Odesa Oblast|Dnipropetrovsk Oblast|Zaporizhzhia Oblast|other affected regions,,,date-level,frozen_registry,0,1,False,NOT DIRECTLY MAPPABLE: V3 taxonomy event_id namespace differs from main cache event_id
KE20241213_MAJOR_ATTACK,extended_rolling_outages,multiple regions nationwide,,,date-level,frozen_registry,0,1,False,NOT DIRECTLY MAPPABLE: V3 taxonomy event_id namespace differs from main cache event_id
KE20241223_EMERGENCY_REPAIR,emergency_outage,multiple unspecified oblasts,2024-12-23 14:10:00+02:00,2024-12-23 17:00:00+02:00,start exact / end estimated,frozen_registry,0,0,False,NOT DIRECTLY MAPPABLE: V3 taxonomy event_id namespace differs from main cache event_id
KE20241225_MAJOR_ATTACK,emergency_blackouts_and_heat_loss,multiple regions nationwide; Kharkiv especially affected,,,date-level,frozen_registry,0,1,False,NOT DIRECTLY MAPPABLE: V3 taxonomy event_id namespace differs from main cache event_id
KE20250115_MAJOR_ATTACK,emergency_outage,Kharkiv Oblast|Sumy Oblast|Poltava Oblast|Donetsk Oblast|Dnipropetrovsk Oblast|Zaporizhzhia Oblast|Kirovohrad Oblast,,2025-01-15 09:00:00+02:00,multi-region end exact / starts vary,frozen_registry,0,1,False,NOT DIRECTLY MAPPABLE: V3 taxonomy event_id namespace differs from main cache event_id
KE20240830_MULTI_REGION_EMERGENCY,emergency_override_of_planned_schedules,Kyiv City|Kyiv Oblast|Cherkasy Oblast|Zhytomyr Oblast|Chernihiv Oblast|Kharkiv Oblast|Sumy Oblast|Poltava Oblast|Dnipropetrovsk Oblast|Kirovohrad Oblast|Zaporizhzhia Oblast|Vinnytsia Oblast|Khmelnytskyi Oblast|Chernivtsi Oblast|Kherson Oblast|Mykolaiv Oblast|Odesa Oblast,,,morning/date-level,frozen_registry,0,0,False,NOT DIRECTLY MAPPABLE: V3 taxonomy event_id namespace differs from main cache event_id
